yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 08:45:11  NaN     NaN     NaN  
2017.08.01 (213) 08:49:59  NaN     NaN     NaN  
2017.08.01 (213) 08:55:23  NaN     NaN     NaN  
2017.08.01 (213) 09:00:11  NaN     NaN     NaN  
2017.08.01 (213) 09:04:59  NaN     NaN     NaN  
2017.08.01 (213) 09:10:23  NaN     NaN     NaN  
2017.08.01 (213) 09:15:11  NaN     NaN     NaN  
2017.08.01 (213) 09:19:59  NaN     NaN     NaN  
2017.08.01 (213) 09:25:23    2.2   251.0   266.0
2017.08.01 (213) 09:30:11    2.5   231.0   256.0
2017.08.01 (213) 09:34:59    2.8   225.0   248.0
2017.08.01 (213) 09:40:23    3.1   218.0   244.0
2017.08.01 (213) 09:45:11    3.4   221.0   234.0
2017.08.01 (213) 09:49:59    3.6   216.0   231.0
2017.08.01 (213) 09:55:23    3.8   215.0   228.0
2017.08.01 (213) 10:00:11    3.9   210.0   219.0
2017.08.01 (213) 10:04:59    3.9   210.0   221.0
2017.08.01 (213) 10:10:23    4.0   209.0   224.0
2017.08.01 (213) 10:15:11    4.1   210.0   225.0
2017.08.01 (213) 10:19:59    4.2   207.0   227.0
2017.08.01 (213) 10:25:23    4.3   215.0   231.0
2017.08.01 (213) 10:30:11    4.3   210.0   231.0
2017.08.01 (213) 10:34:59    4.4   218.0   233.0
2017.08.01 (213) 10:40:23    4.5   218.0   231.0
2017.08.01 (213) 10:45:11    4.5   216.0   228.0
2017.08.01 (213) 10:49:59    4.3   212.0   230.0
2017.08.01 (213) 10:55:23    4.4   212.0   238.0
2017.08.01 (213) 11:00:11    4.4   212.0   238.0
2017.08.01 (213) 11:04:59  NaN     NaN     NaN  
2017.08.01 (213) 11:10:23    4.4   215.0   242.0
2017.08.01 (213) 11:15:11    4.4   209.0   245.0
2017.08.01 (213) 11:19:59    4.5   213.0   253.0
2017.08.01 (213) 11:25:23    4.5   210.0   248.0
2017.08.01 (213) 11:30:11    4.5   213.0   247.0
2017.08.01 (213) 11:34:59    4.5   212.0   245.0
2017.08.01 (213) 11:40:23    4.6   212.0   248.0
2017.08.01 (213) 11:45:11    4.6   210.0   247.0
2017.08.01 (213) 11:49:59    4.5   209.0   242.0
2017.08.01 (213) 11:55:23    4.5   207.0   238.0
2017.08.01 (213) 12:00:11    4.5   207.0   236.0
2017.08.01 (213) 12:04:59    4.5   204.0   236.0
2017.08.01 (213) 12:10:23    4.5   195.0   230.0
2017.08.01 (213) 12:15:11    4.5   200.0   236.0
2017.08.01 (213) 12:19:59    4.6   200.0   236.0
2017.08.01 (213) 12:25:23    4.6   200.0   236.0
2017.08.01 (213) 12:30:11  NaN     NaN     NaN  
2017.08.01 (213) 12:34:59    4.6   192.0   231.0
2017.08.01 (213) 12:40:23    4.4   186.0   216.0
2017.08.01 (213) 12:45:11  NaN     NaN     NaN  
2017.08.01 (213) 12:49:59  NaN     NaN     NaN  
2017.08.01 (213) 12:55:23    4.8   187.0   248.0
2017.08.01 (213) 13:00:11    4.8   189.0   263.0
2017.08.01 (213) 13:04:59    4.8   191.0   253.0
2017.08.01 (213) 13:10:23    4.8   189.0   256.0
2017.08.01 (213) 13:15:11    4.9   189.0   271.0
2017.08.01 (213) 13:19:59    5.0   203.0   309.0
2017.08.01 (213) 13:25:23    5.1   209.0   304.0
2017.08.01 (213) 13:30:11    5.1   209.0   294.0
2017.08.01 (213) 13:34:59    5.1   206.0   301.0
2017.08.01 (213) 13:40:23    5.2   207.0   303.0
2017.08.01 (213) 13:45:11    5.2   206.0   306.0
2017.08.01 (213) 13:49:59    5.2   206.0   307.0
2017.08.01 (213) 13:55:23    5.2   204.0   301.0
2017.08.01 (213) 14:00:11    5.1   200.0   295.0
2017.08.01 (213) 14:04:59    5.0   203.0   297.0
2017.08.01 (213) 14:10:23  NaN     NaN     NaN  
2017.08.01 (213) 14:15:11  NaN     NaN     NaN  
2017.08.01 (213) 14:19:59  NaN     NaN     NaN  
2017.08.01 (213) 14:25:23    4.8   204.0   NaN  
2017.08.01 (213) 14:30:11  NaN     NaN     NaN  
2017.08.01 (213) 14:34:59  NaN     NaN     NaN  
2017.08.01 (213) 14:40:23  NaN     NaN     NaN  
2017.08.01 (213) 14:45:11  NaN     NaN     NaN  
2017.08.01 (213) 14:49:59  NaN     NaN     NaN  
2017.08.01 (213) 14:55:23  NaN     NaN     NaN  
2017.08.01 (213) 15:00:11    5.0   201.0   324.0
2017.08.01 (213) 15:04:59    5.0   204.0   331.0
2017.08.01 (213) 15:10:23    5.2   207.0   330.0
2017.08.01 (213) 15:15:11    5.2   204.0   NaN  
2017.08.01 (213) 15:19:59  NaN     NaN     NaN  
2017.08.01 (213) 15:25:23  NaN     NaN     NaN  
2017.08.01 (213) 15:30:11  NaN     NaN     NaN  
2017.08.01 (213) 15:34:59    5.1   207.0   298.0
2017.08.01 (213) 15:40:23    5.1   206.0   313.0
2017.08.01 (213) 15:45:11    5.0   198.0   310.0
2017.08.01 (213) 15:49:59    5.0   200.0   309.0
2017.08.01 (213) 15:55:23    5.0   201.0   309.0
2017.08.01 (213) 16:00:11    5.0   209.0   310.0
2017.08.01 (213) 16:04:59    5.0   203.0   309.0
2017.08.01 (213) 16:10:23  NaN     NaN     NaN  
2017.08.01 (213) 16:15:11    4.9   204.0   289.0
2017.08.01 (213) 16:19:59    4.8   206.0   260.0
2017.08.01 (213) 16:25:23    5.0   204.0   260.0
2017.08.01 (213) 16:30:11    5.0   200.0   259.0
2017.08.01 (213) 16:34:59    4.9   189.0   260.0
2017.08.01 (213) 16:40:23    4.9   191.0   265.0
2017.08.01 (213) 16:45:11  NaN     NaN     NaN  
2017.08.01 (213) 16:49:59    4.4   184.0   NaN  
2017.08.01 (213) 16:55:23    4.3   178.0   NaN  
2017.08.01 (213) 17:00:11    4.3   178.0   NaN  
2017.08.01 (213) 17:04:59    5.1   186.0   NaN  
2017.08.01 (213) 17:10:23  NaN     NaN     NaN  
2017.08.01 (213) 17:15:11    5.5   181.0   312.0
2017.08.01 (213) 17:19:59    5.5   191.0   304.0
2017.08.01 (213) 17:25:23    5.4   192.0   294.0
2017.08.01 (213) 17:30:11    5.3   192.0   297.0
2017.08.01 (213) 17:34:59    5.3   197.0   297.0
