yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 07:40:23  NaN     NaN     NaN  
2017.08.01 (213) 07:45:11  NaN     NaN     NaN  
2017.08.01 (213) 07:49:59  NaN     NaN     NaN  
2017.08.01 (213) 07:55:23  NaN     NaN     NaN  
2017.08.01 (213) 08:00:11  NaN     NaN     NaN  
2017.08.01 (213) 08:04:59  NaN     NaN     NaN  
2017.08.01 (213) 08:10:23  NaN     NaN     NaN  
2017.08.01 (213) 08:15:11  NaN     NaN     NaN  
2017.08.01 (213) 08:19:59  NaN     NaN     NaN  
2017.08.01 (213) 08:25:23  NaN     NaN     NaN  
2017.08.01 (213) 08:30:11  NaN     NaN     NaN  
2017.08.01 (213) 08:34:59  NaN     NaN     NaN  
2017.08.01 (213) 08:40:23  NaN     NaN     NaN  
2017.08.01 (213) 08:45:11  NaN     NaN     NaN  
2017.08.01 (213) 08:49:59  NaN     NaN     NaN  
2017.08.01 (213) 08:55:23  NaN     NaN     NaN  
2017.08.01 (213) 09:00:11  NaN     NaN     NaN  
2017.08.01 (213) 09:04:59  NaN     NaN     NaN  
2017.08.01 (213) 09:10:23  NaN     NaN     NaN  
2017.08.01 (213) 09:15:11  NaN     NaN     NaN  
2017.08.01 (213) 09:19:59  NaN     NaN     NaN  
2017.08.01 (213) 09:25:23  NaN     NaN     NaN  
2017.08.01 (213) 09:30:11  NaN     NaN     NaN  
2017.08.01 (213) 09:34:59  NaN     NaN     NaN  
2017.08.01 (213) 09:40:23    2.3   237.0   302.0
2017.08.01 (213) 09:45:11    2.5   251.0   291.0
2017.08.01 (213) 09:49:59    2.7   239.0   271.0
2017.08.01 (213) 09:55:23    3.0   234.0   253.0
2017.08.01 (213) 10:00:11    3.5   230.0   248.0
2017.08.01 (213) 10:04:59    3.7   187.0   245.0
2017.08.01 (213) 10:10:23    3.9   230.0   247.0
2017.08.01 (213) 10:15:11    4.2   233.0   244.0
2017.08.01 (213) 10:19:59    4.3   228.0   234.0
2017.08.01 (213) 10:25:23    4.4   230.0   233.0
2017.08.01 (213) 10:30:11    4.4   233.0   230.0
2017.08.01 (213) 10:34:59    4.6   225.0   241.0
2017.08.01 (213) 10:40:23    4.6   169.0   241.0
2017.08.01 (213) 10:45:11    4.7   166.0   237.0
2017.08.01 (213) 10:49:59    4.9   159.0   250.0
2017.08.01 (213) 10:55:23    5.0   161.0   251.0
2017.08.01 (213) 11:00:11    5.1   164.0   247.0
2017.08.01 (213) 11:04:59    5.1   159.0   244.0
2017.08.01 (213) 11:10:23    5.3   144.0   244.0
2017.08.01 (213) 11:15:11    5.3   159.0   247.0
2017.08.01 (213) 11:19:59    5.2   159.0   245.0
2017.08.01 (213) 11:25:23    5.2   158.0   257.0
2017.08.01 (213) 11:30:11    5.1   159.0   257.0
2017.08.01 (213) 11:34:59    5.1   204.0   256.0
2017.08.01 (213) 11:40:23    5.2   143.0   259.0
2017.08.01 (213) 11:45:11    5.3   198.0   254.0
2017.08.01 (213) 11:49:59    5.2   163.0   245.0
2017.08.01 (213) 11:55:23    5.3   152.0   237.0
2017.08.01 (213) 12:00:11    4.9   201.0   237.0
2017.08.01 (213) 12:04:59    4.8   195.0   236.0
2017.08.01 (213) 12:10:23    4.7   193.0   244.0
2017.08.01 (213) 12:15:11    4.7   192.0   244.0
2017.08.01 (213) 12:19:59    4.8   170.0   236.0
2017.08.01 (213) 12:25:23    4.8   190.0   290.0
2017.08.01 (213) 12:30:11    4.8   159.0   283.0
2017.08.01 (213) 12:34:59    4.8   190.0   276.0
2017.08.01 (213) 12:40:23    4.8   170.0   270.0
2017.08.01 (213) 12:45:11    4.8   184.0   250.0
2017.08.01 (213) 12:49:59    4.8   189.0   319.0
2017.08.01 (213) 12:55:23    4.8   184.0   311.0
2017.08.01 (213) 13:00:11    4.8   172.0   303.0
2017.08.01 (213) 13:04:59    5.2   167.0   303.0
2017.08.01 (213) 13:10:23    5.0   170.0   316.0
2017.08.01 (213) 13:15:11    5.1   166.0   317.0
2017.08.01 (213) 13:19:59    5.2   169.0   299.0
