yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 08:49:59  NaN     NaN     NaN  
2017.08.01 (213) 08:55:23  NaN     NaN     NaN  
2017.08.01 (213) 09:00:11  NaN     NaN     NaN  
2017.08.01 (213) 09:04:59  NaN     NaN     NaN  
2017.08.01 (213) 09:10:23  NaN     NaN     NaN  
2017.08.01 (213) 09:15:11  NaN     NaN     NaN  
2017.08.01 (213) 09:19:59  NaN     NaN     NaN  
2017.08.01 (213) 09:25:23  NaN     NaN     NaN  
2017.08.01 (213) 09:30:11  NaN     NaN     NaN  
2017.08.01 (213) 09:34:59  NaN     NaN     NaN  
2017.08.01 (213) 09:40:23  NaN     NaN     NaN  
2017.08.01 (213) 09:45:11  NaN     NaN     NaN  
2017.08.01 (213) 09:49:59    2.7   247.0   257.0
2017.08.01 (213) 09:55:23    3.0   240.0   250.0
2017.08.01 (213) 10:00:11    3.5   233.0   259.0
2017.08.01 (213) 10:04:59    3.7   233.0   257.0
2017.08.01 (213) 10:10:23    4.0   231.0   247.0
2017.08.01 (213) 10:15:11    4.2   233.0   252.0
2017.08.01 (213) 10:19:59    4.3   226.0   236.0
2017.08.01 (213) 10:25:23    4.4   233.0   238.0
2017.08.01 (213) 10:30:11    4.4   231.0   240.0
2017.08.01 (213) 10:34:59    4.5   233.0   233.0
2017.08.01 (213) 10:40:23    4.6   233.0   238.0
2017.08.01 (213) 10:45:11    4.8   231.0   250.0
2017.08.01 (213) 10:49:59    4.9   224.0   247.0
2017.08.01 (213) 10:55:23    5.0   214.0   262.0
2017.08.01 (213) 11:00:11    5.1   226.0   240.0
2017.08.01 (213) 11:04:59    5.1   212.0   250.0
2017.08.01 (213) 11:10:23    5.3   207.0   247.0
2017.08.01 (213) 11:15:11    5.2   209.0   245.0
2017.08.01 (213) 11:19:59    5.1   207.0   250.0
2017.08.01 (213) 11:25:23    5.2   224.0   250.0
2017.08.01 (213) 11:30:11    5.1   195.0   264.0
2017.08.01 (213) 11:34:59    5.1   212.0   271.0
2017.08.01 (213) 11:40:23    5.2   209.0   259.0
2017.08.01 (213) 11:45:11    5.2   205.0   252.0
2017.08.01 (213) 11:49:59    5.1   202.0   238.0
2017.08.01 (213) 11:55:23    5.0   202.0   252.0
2017.08.01 (213) 12:00:11    4.9   205.0   257.0
2017.08.01 (213) 12:04:59    4.7   195.0   238.0
2017.08.01 (213) 12:10:23    4.7   195.0   231.0
2017.08.01 (213) 12:15:11    4.7   193.0   243.0
2017.08.01 (213) 12:19:59    4.7   200.0   233.0
2017.08.01 (213) 12:25:23    4.8   195.0   276.0
2017.08.01 (213) 12:30:11    4.8   200.0   255.0
2017.08.01 (213) 12:34:59    4.8   198.0   257.0
2017.08.01 (213) 12:40:23    4.8   195.0   266.0
2017.08.01 (213) 12:45:11    4.8   188.0   264.0
2017.08.01 (213) 12:49:59    4.7   198.0   243.0
2017.08.01 (213) 12:55:23    4.9   193.0   300.0
2017.08.01 (213) 13:00:11    4.9   200.0   288.0
2017.08.01 (213) 13:04:59    4.9   202.0   285.0
2017.08.01 (213) 13:10:23    4.9   200.0   302.0
2017.08.01 (213) 13:15:11    5.0   198.0   326.0
2017.08.01 (213) 13:19:59    5.1   186.0   331.0
2017.08.01 (213) 13:25:23    5.2   195.0   314.0
2017.08.01 (213) 13:30:11    5.1   200.0   297.0
2017.08.01 (213) 13:34:59    5.2   207.0   309.0
2017.08.01 (213) 13:40:23    5.2   195.0   307.0
2017.08.01 (213) 13:45:11    5.1   200.0   326.0
