yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 00:00:00  2.200   225.0   242.0
2017.08.02 (214) 00:05:00  2.100   222.0   247.0
2017.08.02 (214) 00:10:00  NaN     NaN     NaN  
2017.08.02 (214) 00:15:00  NaN     NaN     NaN  
2017.08.02 (214) 00:20:00  2.100   224.0   245.0
2017.08.02 (214) 00:25:00  NaN     NaN     NaN  
2017.08.02 (214) 00:30:00  NaN     NaN     NaN  
2017.08.02 (214) 00:35:00  NaN     NaN     NaN  
2017.08.02 (214) 00:40:00  NaN     NaN     NaN  
2017.08.02 (214) 00:45:00  NaN     NaN     NaN  
2017.08.02 (214) 00:50:00  NaN     NaN     NaN  
2017.08.02 (214) 00:55:00  NaN     NaN     NaN  
2017.08.02 (214) 01:00:00  NaN     NaN     NaN  
2017.08.02 (214) 01:05:00  NaN     NaN     NaN  
2017.08.02 (214) 01:10:00  NaN     NaN     NaN  
2017.08.02 (214) 01:15:00  NaN     NaN     NaN  
2017.08.02 (214) 01:20:00  NaN     NaN     NaN  
2017.08.02 (214) 01:25:00  NaN     NaN     NaN  
2017.08.02 (214) 01:30:00  NaN     NaN     NaN  
2017.08.02 (214) 01:35:00  NaN     NaN     NaN  
2017.08.02 (214) 01:40:00  NaN     NaN     NaN  
2017.08.02 (214) 01:45:00  NaN     NaN     NaN  
2017.08.02 (214) 01:50:00  NaN     NaN     NaN  
2017.08.02 (214) 01:55:00  NaN     NaN     NaN  
2017.08.02 (214) 02:00:00  NaN     NaN     NaN  
2017.08.02 (214) 02:05:00  NaN     NaN     NaN  
2017.08.02 (214) 02:10:00  NaN     NaN     NaN  
2017.08.02 (214) 02:15:00  NaN     NaN     NaN  
2017.08.02 (214) 02:20:00  NaN     NaN     NaN  
2017.08.02 (214) 02:25:00  NaN     NaN     NaN  
2017.08.02 (214) 02:30:00  NaN     NaN     NaN  
2017.08.02 (214) 02:35:00  NaN     NaN     NaN  
2017.08.02 (214) 02:40:00  NaN     NaN     NaN  
2017.08.02 (214) 02:45:00  NaN     NaN     NaN  
2017.08.02 (214) 02:50:00  NaN     NaN     NaN  
2017.08.02 (214) 02:55:00  NaN     NaN     NaN  
2017.08.02 (214) 03:00:00  NaN     NaN     NaN  
2017.08.02 (214) 03:05:00  NaN     NaN     NaN  
2017.08.02 (214) 03:10:00  NaN     NaN     NaN  
2017.08.02 (214) 03:15:00  NaN     NaN     NaN  
2017.08.02 (214) 03:20:00  NaN     NaN     NaN  
2017.08.02 (214) 03:25:00  NaN     NaN     NaN  
2017.08.02 (214) 03:30:00  NaN     NaN     NaN  
2017.08.02 (214) 03:35:00  NaN     NaN     NaN  
2017.08.02 (214) 03:40:00  NaN     NaN     NaN  
2017.08.02 (214) 03:45:00  NaN     NaN     NaN  
2017.08.02 (214) 03:50:00  NaN     NaN     NaN  
2017.08.02 (214) 03:55:00  NaN     NaN     NaN  
2017.08.02 (214) 04:00:00  NaN     NaN     NaN  
2017.08.02 (214) 04:05:00  NaN     NaN     NaN  
2017.08.02 (214) 04:10:00  NaN     NaN     NaN  
2017.08.02 (214) 04:15:00  NaN     NaN     NaN  
2017.08.02 (214) 04:20:00  NaN     NaN     NaN  
2017.08.02 (214) 04:25:00  NaN     NaN     NaN  
2017.08.02 (214) 04:30:00  NaN     NaN     NaN  
2017.08.02 (214) 04:35:00  NaN     NaN     NaN  
2017.08.02 (214) 04:40:00  NaN     NaN     NaN  
2017.08.02 (214) 04:45:00  NaN     NaN     NaN  
2017.08.02 (214) 04:50:00  NaN     NaN     NaN  
2017.08.02 (214) 04:55:00  NaN     NaN     NaN  
2017.08.02 (214) 05:00:00  NaN     NaN     NaN  
2017.08.02 (214) 05:05:00  NaN     NaN     NaN  
2017.08.02 (214) 05:10:00  NaN     NaN     NaN  
2017.08.02 (214) 05:15:00  NaN     NaN     NaN  
2017.08.02 (214) 05:20:00  NaN     NaN     NaN  
2017.08.02 (214) 05:25:00  NaN     NaN     NaN  
2017.08.02 (214) 05:30:00  NaN     NaN     NaN  
2017.08.02 (214) 05:35:00  NaN     NaN     NaN  
2017.08.02 (214) 05:40:00  NaN     NaN     NaN  
2017.08.02 (214) 05:45:00  NaN     NaN     NaN  
2017.08.02 (214) 05:50:00  NaN     NaN     NaN  
2017.08.02 (214) 05:55:00  NaN     NaN     NaN  
2017.08.02 (214) 06:00:00  NaN     NaN     NaN  
2017.08.02 (214) 06:05:00  NaN     NaN     NaN  
2017.08.02 (214) 06:10:00  NaN     NaN     NaN  
2017.08.02 (214) 06:15:00  NaN     NaN     NaN  
2017.08.02 (214) 06:20:00  NaN     NaN     NaN  
2017.08.02 (214) 06:25:00  NaN     NaN     NaN  
2017.08.02 (214) 06:30:00  NaN     NaN     NaN  
2017.08.02 (214) 06:35:00  NaN     NaN     NaN  
2017.08.02 (214) 06:40:00  NaN     NaN     NaN  
2017.08.02 (214) 06:45:00  NaN     NaN     NaN  
2017.08.02 (214) 06:50:00  NaN     NaN     NaN  
2017.08.02 (214) 06:55:00  NaN     NaN     NaN  
2017.08.02 (214) 07:00:00  NaN     NaN     NaN  
2017.08.02 (214) 07:05:00  NaN     NaN     NaN  
2017.08.02 (214) 07:10:00  NaN     NaN     NaN  
2017.08.02 (214) 07:15:00  NaN     NaN     NaN  
2017.08.02 (214) 07:20:00  NaN     NaN     NaN  
2017.08.02 (214) 07:25:00  NaN     NaN     NaN  
2017.08.02 (214) 07:30:00  NaN     NaN     NaN  
2017.08.02 (214) 07:35:00  NaN     NaN     NaN  
2017.08.02 (214) 07:40:00  NaN     NaN     NaN  
2017.08.02 (214) 07:45:00  NaN     NaN     NaN  
2017.08.02 (214) 07:50:00  NaN     NaN     NaN  
2017.08.02 (214) 07:55:00  NaN     NaN     NaN  
2017.08.02 (214) 08:00:00  NaN     NaN     NaN  
2017.08.02 (214) 08:05:00  NaN     NaN     NaN  
2017.08.02 (214) 08:10:00  NaN     NaN     NaN  
2017.08.02 (214) 08:15:00  NaN     NaN     NaN  
2017.08.02 (214) 08:20:00  NaN     NaN     NaN  
2017.08.02 (214) 08:25:00  NaN     NaN     NaN  
2017.08.02 (214) 08:30:00  NaN     NaN     NaN  
