yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 00:00:00  2.200   225.0   236.0
2017.08.02 (214) 00:05:00  2.100   245.0   286.0
2017.08.02 (214) 00:10:00  NaN     247.0   NaN  
2017.08.02 (214) 00:15:00  NaN     245.0   NaN  
2017.08.02 (214) 00:20:00  2.000   236.0   251.0
2017.08.02 (214) 00:25:00  2.300   227.0   251.0
2017.08.02 (214) 00:30:00  NaN     268.0   NaN  
2017.08.02 (214) 00:35:00  NaN     NaN     NaN  
2017.08.02 (214) 00:40:00  NaN     NaN     NaN  
2017.08.02 (214) 00:45:00  NaN     NaN     NaN  
2017.08.02 (214) 00:50:00  NaN     254.0   NaN  
2017.08.02 (214) 00:55:00  NaN     251.0   NaN  
2017.08.02 (214) 01:00:00  1.800   228.0   251.0
2017.08.02 (214) 01:05:00  NaN     NaN     NaN  
2017.08.02 (214) 01:10:00  NaN     NaN     NaN  
2017.08.02 (214) 01:15:00  NaN     NaN     NaN  
2017.08.02 (214) 01:20:00  NaN     NaN     NaN  
2017.08.02 (214) 01:25:00  NaN     NaN     NaN  
2017.08.02 (214) 01:30:00  NaN     NaN     NaN  
2017.08.02 (214) 01:35:00  NaN     NaN     NaN  
2017.08.02 (214) 01:40:00  NaN     NaN     NaN  
2017.08.02 (214) 01:45:00  NaN     NaN     NaN  
2017.08.02 (214) 01:50:00  NaN     NaN     NaN  
2017.08.02 (214) 01:55:00  NaN     NaN     NaN  
2017.08.02 (214) 02:00:00  NaN     NaN     NaN  
2017.08.02 (214) 02:05:00  NaN     NaN     NaN  
2017.08.02 (214) 02:10:00  NaN     NaN     NaN  
2017.08.02 (214) 02:15:00  NaN     NaN     NaN  
2017.08.02 (214) 02:20:00  NaN     NaN     NaN  
2017.08.02 (214) 02:25:00  NaN     NaN     NaN  
2017.08.02 (214) 02:30:00  NaN     NaN     NaN  
2017.08.02 (214) 02:35:00  NaN     NaN     NaN  
2017.08.02 (214) 02:40:00  NaN     NaN     NaN  
2017.08.02 (214) 02:45:00  NaN     NaN     NaN  
2017.08.02 (214) 02:50:00  NaN     NaN     NaN  
2017.08.02 (214) 02:55:00  NaN     NaN     NaN  
2017.08.02 (214) 03:00:00  NaN     NaN     NaN  
2017.08.02 (214) 03:05:00  NaN     NaN     NaN  
2017.08.02 (214) 03:10:00  NaN     NaN     NaN  
2017.08.02 (214) 03:15:00  NaN     NaN     NaN  
2017.08.02 (214) 03:20:00  NaN     NaN     NaN  
2017.08.02 (214) 03:25:00  NaN     NaN     NaN  
2017.08.02 (214) 03:30:00  NaN     NaN     NaN  
2017.08.02 (214) 03:35:00  NaN     NaN     NaN  
2017.08.02 (214) 03:40:00  NaN     NaN     NaN  
2017.08.02 (214) 03:45:00  NaN     NaN     NaN  
2017.08.02 (214) 03:50:00  NaN     NaN     NaN  
2017.08.02 (214) 03:55:00  NaN     NaN     NaN  
2017.08.02 (214) 04:00:00  NaN     NaN     NaN  
2017.08.02 (214) 04:05:00  NaN     NaN     NaN  
2017.08.02 (214) 04:10:00  NaN     NaN     NaN  
2017.08.02 (214) 04:15:00  NaN     NaN     NaN  
2017.08.02 (214) 04:20:00  NaN     NaN     NaN  
2017.08.02 (214) 04:25:00  NaN     NaN     NaN  
2017.08.02 (214) 04:30:00  NaN     NaN     NaN  
2017.08.02 (214) 04:35:00  NaN     NaN     NaN  
2017.08.02 (214) 04:40:00  NaN     NaN     NaN  
2017.08.02 (214) 04:45:00  NaN     NaN     NaN  
2017.08.02 (214) 04:50:00  NaN     233.0   NaN  
2017.08.02 (214) 04:55:00  NaN     230.0   NaN  
2017.08.02 (214) 05:00:00  NaN     NaN     NaN  
2017.08.02 (214) 05:05:00  NaN     NaN     NaN  
2017.08.02 (214) 05:10:00  NaN     239.0   NaN  
