yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.30 (242) 00:00:00  NaN     NaN     NaN  
2017.08.30 (242) 00:05:00  NaN     NaN     NaN  
2017.08.30 (242) 00:10:00  NaN     NaN     NaN  
2017.08.30 (242) 00:15:00  NaN     NaN     NaN  
2017.08.30 (242) 00:20:00  NaN     NaN     NaN  
2017.08.30 (242) 00:25:00  NaN     NaN     NaN  
2017.08.30 (242) 00:30:00  NaN     NaN     NaN  
2017.08.30 (242) 00:35:00  NaN     NaN     NaN  
2017.08.30 (242) 00:40:00  NaN     NaN     NaN  
2017.08.30 (242) 00:45:00  NaN     NaN     NaN  
2017.08.30 (242) 00:50:00  NaN     NaN     NaN  
2017.08.30 (242) 00:55:00  NaN     NaN     NaN  
2017.08.30 (242) 01:00:00  NaN     NaN     NaN  
2017.08.30 (242) 01:05:00  NaN     NaN     NaN  
2017.08.30 (242) 01:10:00  NaN     NaN     NaN  
2017.08.30 (242) 01:15:00  2.100   278.0   278.0
2017.08.30 (242) 01:20:00  2.100   288.0   285.0
2017.08.30 (242) 01:25:00  2.000   293.0   293.0
2017.08.30 (242) 01:30:00  2.000   300.0   302.0
2017.08.30 (242) 01:35:00  2.100   312.0   309.0
2017.08.30 (242) 01:40:00  NaN     NaN     NaN  
2017.08.30 (242) 01:45:00  2.000   281.0   285.0
2017.08.30 (242) 01:50:00  NaN     NaN     NaN  
2017.08.30 (242) 01:55:00  2.100   285.0   290.0
2017.08.30 (242) 02:00:00  2.100   262.0   290.0
2017.08.30 (242) 02:05:00  2.100   274.0   293.0
2017.08.30 (242) 02:10:00  2.200   326.0   323.0
2017.08.30 (242) 02:15:00  2.100   309.0   314.0
2017.08.30 (242) 02:20:00  2.100   304.0   319.0
2017.08.30 (242) 02:25:00  2.200   309.0   323.0
2017.08.30 (242) 02:30:00  2.200   300.0   323.0
2017.08.30 (242) 02:35:00  2.200   312.0   319.0
2017.08.30 (242) 02:40:00  2.200   302.0   321.0
2017.08.30 (242) 02:45:00  2.200   316.0   326.0
2017.08.30 (242) 02:50:00  NaN     NaN     NaN  
2017.08.30 (242) 02:55:00  2.200   297.0   316.0
2017.08.30 (242) 03:00:00  2.200   309.0   333.0
2017.08.30 (242) 03:05:00  2.300   319.0   342.0
2017.08.30 (242) 03:10:00  2.200   321.0   333.0
2017.08.30 (242) 03:15:00  2.300   319.0   335.0
2017.08.30 (242) 03:20:00  2.300   340.0   350.0
2017.08.30 (242) 03:25:00  2.400   326.0   342.0
2017.08.30 (242) 03:30:00  2.300   314.0   331.0
2017.08.30 (242) 03:35:00  2.400   309.0   326.0
2017.08.30 (242) 03:40:00  2.400   323.0   338.0
2017.08.30 (242) 03:45:00  2.400   316.0   350.0
2017.08.30 (242) 03:50:00  2.500   302.0   323.0
2017.08.30 (242) 03:55:00  2.400   302.0   335.0
2017.08.30 (242) 04:00:00  2.500   297.0   316.0
2017.08.30 (242) 04:05:00  2.500   288.0   297.0
2017.08.30 (242) 04:10:00  2.500   307.0   359.0
2017.08.30 (242) 04:15:00  2.400   316.0   347.0
2017.08.30 (242) 04:20:00  2.400   331.0   357.0
2017.08.30 (242) 04:25:00  2.400   328.0   352.0
2017.08.30 (242) 04:30:00  2.400   316.0   350.0
2017.08.30 (242) 04:35:00  2.400   357.0   376.0
2017.08.30 (242) 04:40:00  2.400   352.0   385.0
2017.08.30 (242) 04:45:00  2.400   333.0   364.0
2017.08.30 (242) 04:50:00  2.400   347.0   388.0
2017.08.30 (242) 04:55:00  2.300   326.0   342.0
2017.08.30 (242) 05:00:00  2.400   347.0   378.0
