yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 00:00:00  2.200   226.0   238.0
2017.08.02 (214) 00:05:00  2.100   240.0   240.0
2017.08.02 (214) 00:10:00  NaN     NaN     NaN  
2017.08.02 (214) 00:15:00  NaN     NaN     NaN  
2017.08.02 (214) 00:20:00  2.100   238.0   238.0
2017.08.02 (214) 00:25:00  NaN     NaN     NaN  
2017.08.02 (214) 00:30:00  NaN     NaN     NaN  
2017.08.02 (214) 00:35:00  NaN     NaN     NaN  
2017.08.02 (214) 00:40:00  NaN     NaN     NaN  
2017.08.02 (214) 00:45:00  NaN     NaN     NaN  
2017.08.02 (214) 00:50:00  NaN     NaN     NaN  
2017.08.02 (214) 00:55:00  NaN     NaN     NaN  
2017.08.02 (214) 01:00:00  NaN     NaN     NaN  
2017.08.02 (214) 01:05:00  NaN     NaN     NaN  
2017.08.02 (214) 01:10:00  NaN     NaN     NaN  
2017.08.02 (214) 01:15:00  NaN     NaN     NaN  
2017.08.02 (214) 01:20:00  NaN     NaN     NaN  
2017.08.02 (214) 01:25:00  NaN     NaN     NaN  
2017.08.02 (214) 01:30:00  NaN     NaN     NaN  
2017.08.02 (214) 01:35:00  NaN     NaN     NaN  
2017.08.02 (214) 01:40:00  NaN     NaN     NaN  
2017.08.02 (214) 01:45:00  NaN     NaN     NaN  
2017.08.02 (214) 01:50:00  NaN     NaN     NaN  
2017.08.02 (214) 01:55:00  NaN     NaN     NaN  
2017.08.02 (214) 02:00:00  NaN     NaN     NaN  
2017.08.02 (214) 02:05:00  NaN     NaN     NaN  
2017.08.02 (214) 02:10:00  NaN     NaN     NaN  
2017.08.02 (214) 02:15:00  NaN     NaN     NaN  
2017.08.02 (214) 02:20:00  NaN     NaN     NaN  
2017.08.02 (214) 02:25:00  NaN     NaN     NaN  
2017.08.02 (214) 02:30:00  NaN     NaN     NaN  
2017.08.02 (214) 02:35:00  NaN     NaN     NaN  
2017.08.02 (214) 02:40:00  NaN     NaN     NaN  
2017.08.02 (214) 02:45:00  NaN     NaN     NaN  
2017.08.02 (214) 02:50:00  NaN     NaN     NaN  
2017.08.02 (214) 02:55:00  NaN     NaN     NaN  
2017.08.02 (214) 03:00:00  NaN     NaN     NaN  
2017.08.02 (214) 03:05:00  NaN     NaN     NaN  
2017.08.02 (214) 03:10:00  NaN     NaN     NaN  
2017.08.02 (214) 03:15:00  NaN     NaN     NaN  
2017.08.02 (214) 03:20:00  NaN     NaN     NaN  
2017.08.02 (214) 03:25:00  NaN     NaN     NaN  
2017.08.02 (214) 03:30:00  NaN     NaN     NaN  
2017.08.02 (214) 03:35:00  NaN     NaN     NaN  
2017.08.02 (214) 03:40:00  NaN     NaN     NaN  
2017.08.02 (214) 03:45:00  NaN     NaN     NaN  
2017.08.02 (214) 03:50:00  NaN     NaN     NaN  
2017.08.02 (214) 03:55:00  NaN     NaN     NaN  
2017.08.02 (214) 04:00:00  NaN     NaN     NaN  
2017.08.02 (214) 04:05:00  NaN     NaN     NaN  
2017.08.02 (214) 04:10:00  NaN     NaN     NaN  
2017.08.02 (214) 04:15:00  NaN     NaN     NaN  
2017.08.02 (214) 04:20:00  NaN     NaN     NaN  
2017.08.02 (214) 04:25:00  NaN     NaN     NaN  
2017.08.02 (214) 04:30:00  NaN     NaN     NaN  
2017.08.02 (214) 04:35:00  NaN     NaN     NaN  
2017.08.02 (214) 04:40:00  NaN     NaN     NaN  
2017.08.02 (214) 04:45:00  NaN     NaN     NaN  
2017.08.02 (214) 04:50:00  NaN     NaN     NaN  
2017.08.02 (214) 04:55:00  NaN     NaN     NaN  
2017.08.02 (214) 05:00:00  NaN     NaN     NaN  
2017.08.02 (214) 05:05:00  NaN     NaN     NaN  
2017.08.02 (214) 05:10:00  NaN     NaN     NaN  
2017.08.02 (214) 05:15:00  NaN     NaN     NaN  
2017.08.02 (214) 05:20:00  NaN     NaN     NaN  
2017.08.02 (214) 05:25:00  NaN     NaN     NaN  
2017.08.02 (214) 05:30:00  NaN     NaN     NaN  
2017.08.02 (214) 05:35:00  NaN     NaN     NaN  
2017.08.02 (214) 05:40:00  NaN     NaN     NaN  
2017.08.02 (214) 05:45:00  NaN     NaN     NaN  
2017.08.02 (214) 05:50:00  NaN     NaN     NaN  
2017.08.02 (214) 05:55:00  NaN     NaN     NaN  
2017.08.02 (214) 06:00:00  NaN     NaN     NaN  
2017.08.02 (214) 06:05:00  NaN     NaN     NaN  
2017.08.02 (214) 06:10:00  NaN     NaN     NaN  
2017.08.02 (214) 06:15:00  NaN     NaN     NaN  
2017.08.02 (214) 06:20:00  NaN     NaN     NaN  
2017.08.02 (214) 06:25:00  NaN     NaN     NaN  
2017.08.02 (214) 06:30:00  NaN     NaN     NaN  
2017.08.02 (214) 06:35:00  NaN     NaN     NaN  
2017.08.02 (214) 06:40:00  NaN     NaN     NaN  
2017.08.02 (214) 06:45:00  NaN     NaN     NaN  
2017.08.02 (214) 06:50:00  NaN     NaN     NaN  
2017.08.02 (214) 06:55:00  NaN     NaN     NaN  
2017.08.02 (214) 07:00:00  NaN     NaN     NaN  
2017.08.02 (214) 07:05:00  NaN     NaN     NaN  
2017.08.02 (214) 07:10:00  NaN     NaN     NaN  
2017.08.02 (214) 07:15:00  NaN     NaN     NaN  
2017.08.02 (214) 07:20:00  NaN     NaN     NaN  
2017.08.02 (214) 07:25:00  NaN     NaN     NaN  
2017.08.02 (214) 07:30:00  NaN     NaN     NaN  
2017.08.02 (214) 07:35:00  NaN     NaN     NaN  
2017.08.02 (214) 07:40:00  NaN     NaN     NaN  
2017.08.02 (214) 07:45:00  NaN     NaN     NaN  
2017.08.02 (214) 07:50:00  NaN     NaN     NaN  
2017.08.02 (214) 07:55:00  NaN     NaN     NaN  
2017.08.02 (214) 08:00:00  NaN     NaN     NaN  
2017.08.02 (214) 08:05:00  NaN     NaN     NaN  
2017.08.02 (214) 08:10:00  NaN     NaN     NaN  
2017.08.02 (214) 08:15:00  NaN     NaN     NaN  
2017.08.02 (214) 08:20:00  NaN     NaN     NaN  
2017.08.02 (214) 08:25:00  NaN     NaN     NaN  
2017.08.02 (214) 08:30:00  NaN     NaN     NaN  
2017.08.02 (214) 08:35:00  NaN     NaN     NaN  
2017.08.02 (214) 08:40:00  NaN     NaN     NaN  
2017.08.02 (214) 08:45:00  NaN     NaN     NaN  
2017.08.02 (214) 08:50:00  NaN     NaN     NaN  
2017.08.02 (214) 08:55:00  NaN     NaN     NaN  
2017.08.02 (214) 09:00:00  NaN     NaN     NaN  
2017.08.02 (214) 09:05:00  NaN     NaN     NaN  
2017.08.02 (214) 09:10:00  NaN     NaN     NaN  
2017.08.02 (214) 09:15:00  NaN     NaN     NaN  
2017.08.02 (214) 09:20:00  NaN     NaN     NaN  
2017.08.02 (214) 09:25:00  NaN     NaN     NaN  
2017.08.02 (214) 09:30:00  2.600   252.0   252.0
2017.08.02 (214) 09:35:00  2.900   233.0   238.0
2017.08.02 (214) 09:40:00  3.200   224.0   228.0
2017.08.02 (214) 09:45:00  3.400   221.0   224.0
2017.08.02 (214) 09:50:00  3.500   224.0   226.0
2017.08.02 (214) 09:55:00  3.600   228.0   228.0
2017.08.02 (214) 10:00:00  3.700   228.0   231.0
2017.08.02 (214) 10:05:00  3.900   233.0   233.0
2017.08.02 (214) 10:10:00  3.900   228.0   233.0
2017.08.02 (214) 10:15:00  3.900   236.0   240.0
2017.08.02 (214) 10:20:00  4.000   202.0   202.0
2017.08.02 (214) 10:25:00  4.000   179.0   181.0
2017.08.02 (214) 10:30:00  4.200   174.0   174.0
2017.08.02 (214) 10:35:00  4.100   179.0   179.0
2017.08.02 (214) 10:40:00  4.200   174.0   179.0
2017.08.02 (214) 10:45:00  4.300   176.0   176.0
2017.08.02 (214) 10:50:00  4.300   172.0   174.0
2017.08.02 (214) 10:55:00  4.400   176.0   176.0
2017.08.02 (214) 11:00:00  4.500   198.0   181.0
2017.08.02 (214) 11:05:00  4.500   205.0   247.0
2017.08.02 (214) 11:10:00  4.500   202.0   252.0
2017.08.02 (214) 11:15:00  4.500   200.0   252.0
2017.08.02 (214) 11:20:00  4.700   205.0   269.0
2017.08.02 (214) 11:25:00  4.800   207.0   269.0
2017.08.02 (214) 11:30:00  4.800   200.0   264.0
2017.08.02 (214) 11:35:00  4.800   181.0   269.0
2017.08.02 (214) 11:40:00  4.800   191.0   262.0
2017.08.02 (214) 11:45:00  4.800   183.0   255.0
2017.08.02 (214) 11:50:00  4.600   186.0   245.0
2017.08.02 (214) 11:55:00  4.700   188.0   191.0
2017.08.02 (214) 12:00:00  4.700   193.0   195.0
2017.08.02 (214) 12:05:00  4.800   183.0   186.0
2017.08.02 (214) 12:10:00  4.800   191.0   193.0
2017.08.02 (214) 12:15:00  4.700   183.0   183.0
2017.08.02 (214) 12:20:00  4.700   212.0   212.0
2017.08.02 (214) 12:25:00  4.700   219.0   219.0
2017.08.02 (214) 12:30:00  4.700   179.0   179.0
2017.08.02 (214) 12:35:00  4.700   181.0   183.0
2017.08.02 (214) 12:40:00  4.900   176.0   179.0
2017.08.02 (214) 12:45:00  5.000   169.0   172.0
2017.08.02 (214) 12:50:00  4.900   176.0   176.0
2017.08.02 (214) 12:55:00  5.200   202.0   205.0
2017.08.02 (214) 13:00:00  5.200   202.0   202.0
2017.08.02 (214) 13:05:00  5.200   209.0   209.0
2017.08.02 (214) 13:10:00  5.200   212.0   214.0
