yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.30 (242) 08:55:00  NaN     NaN     NaN  
2017.08.30 (242) 09:00:00  2.500   245.0   269.0
2017.08.30 (242) 09:05:00  2.800   238.0   265.0
2017.08.30 (242) 09:10:00  3.100   230.0   254.0
2017.08.30 (242) 09:15:00  3.300   224.0   244.0
2017.08.30 (242) 09:20:00  3.600   218.0   241.0
2017.08.30 (242) 09:25:00  3.800   216.0   236.0
2017.08.30 (242) 09:30:00  4.000   215.0   233.0
2017.08.30 (242) 09:35:00  4.200   215.0   238.0
2017.08.30 (242) 09:40:00  4.300   215.0   234.0
2017.08.30 (242) 09:45:00  4.400   219.0   228.0
2017.08.30 (242) 09:50:00  4.400   212.0   230.0
2017.08.30 (242) 09:55:00  4.500   215.0   233.0
2017.08.30 (242) 10:00:00  4.600   218.0   236.0
2017.08.30 (242) 10:05:00  4.700   215.0   231.0
2017.08.30 (242) 10:10:00  4.700   215.0   233.0
2017.08.30 (242) 10:15:00  4.900   216.0   241.0
2017.08.30 (242) 10:20:00  5.000   219.0   245.0
2017.08.30 (242) 10:25:00  5.200   222.0   244.0
2017.08.30 (242) 10:30:00  5.200   224.0   238.0
2017.08.30 (242) 10:35:00  5.000   222.0   242.0
2017.08.30 (242) 10:40:00  4.900   219.0   244.0
2017.08.30 (242) 10:45:00  5.000   216.0   257.0
2017.08.30 (242) 10:50:00  5.000   218.0   257.0
2017.08.30 (242) 10:55:00  5.100   218.0   260.0
2017.08.30 (242) 11:00:00  5.100   216.0   259.0
2017.08.30 (242) 11:05:00  5.200   216.0   260.0
2017.08.30 (242) 11:10:00  5.200   219.0   257.0
2017.08.30 (242) 11:15:00  5.200   216.0   256.0
2017.08.30 (242) 11:20:00  5.300   218.0   268.0
2017.08.30 (242) 11:25:00  5.400   210.0   268.0
2017.08.30 (242) 11:30:00  5.400   212.0   278.0
2017.08.30 (242) 11:35:00  5.500   212.0   277.0
2017.08.30 (242) 11:40:00  5.500   218.0   277.0
2017.08.30 (242) 11:45:00  5.600   218.0   288.0
2017.08.30 (242) 11:50:00  5.600   212.0   286.0
2017.08.30 (242) 11:55:00  5.700   209.0   298.0
2017.08.30 (242) 12:00:00  5.800   210.0   298.0
2017.08.30 (242) 12:05:00  5.900   212.0   291.0
2017.08.30 (242) 12:10:00  6.000   212.0   285.0
2017.08.30 (242) 12:15:00  6.100   215.0   272.0
2017.08.30 (242) 12:20:00  5.900   212.0   266.0
2017.08.30 (242) 12:25:00  5.800   209.0   271.0
2017.08.30 (242) 12:30:00  5.600   212.0   281.0
2017.08.30 (242) 12:35:00  5.700   213.0   301.0
2017.08.30 (242) 12:40:00  5.900   210.0   303.0
2017.08.30 (242) 12:45:00  5.800   212.0   300.0
2017.08.30 (242) 12:50:00  5.800   209.0   306.0
2017.08.30 (242) 12:55:00  5.800   209.0   304.0
2017.08.30 (242) 13:00:00  5.800   204.0   304.0
2017.08.30 (242) 13:05:00  5.800   209.0   307.0
2017.08.30 (242) 13:10:00  5.700   206.0   304.0
2017.08.30 (242) 13:15:00  5.800   210.0   310.0
2017.08.30 (242) 13:20:00  5.700   210.0   313.0
2017.08.30 (242) 13:25:00  5.800   207.0   335.0
2017.08.30 (242) 13:30:00  5.700   210.0   341.0
2017.08.30 (242) 13:35:00  5.800   215.0   342.0
2017.08.30 (242) 13:40:00  5.900   206.0   330.0
2017.08.30 (242) 13:45:00  5.800   206.0   321.0
2017.08.30 (242) 13:50:00  5.800   209.0   328.0
2017.08.30 (242) 13:55:00  5.800   215.0   336.0
2017.08.30 (242) 14:00:00  5.900   209.0   325.0
2017.08.30 (242) 14:05:00  5.900   212.0   347.0
2017.08.30 (242) 14:10:00  6.000   207.0   344.0
2017.08.30 (242) 14:15:00  6.100   207.0   342.0
2017.08.30 (242) 14:20:00  6.100   210.0   342.0
2017.08.30 (242) 14:25:00  6.200   207.0   338.0
2017.08.30 (242) 14:30:00  6.200   206.0   335.0
2017.08.30 (242) 14:35:00  6.500   210.0   335.0
2017.08.30 (242) 14:40:00  6.500   207.0   327.0
2017.08.30 (242) 14:45:00  6.700   209.0   319.0
2017.08.30 (242) 14:50:00  6.600   204.0   313.0
2017.08.30 (242) 14:55:00  6.600   206.0   309.0
2017.08.30 (242) 15:00:00  6.700   210.0   307.0
2017.08.30 (242) 15:05:00  6.600   210.0   307.0
2017.08.30 (242) 15:10:00  6.600   200.0   309.0
2017.08.30 (242) 15:15:00  6.800   206.0   315.0
2017.08.30 (242) 15:20:00  6.700   204.0   316.0
2017.08.30 (242) 15:25:00  6.900   207.0   324.0
2017.08.30 (242) 15:30:00  6.800   201.0   319.0
2017.08.30 (242) 15:35:00  7.000   201.0   312.0
2017.08.30 (242) 15:40:00  7.000   186.0   310.0
2017.08.30 (242) 15:45:00  7.100   189.0   310.0
2017.08.30 (242) 15:50:00  7.200   184.0   315.0
2017.08.30 (242) 15:55:00  7.100   186.0   319.0
2017.08.30 (242) 16:00:00  7.200   178.0   319.0
2017.08.30 (242) 16:05:00  7.300   189.0   319.0
2017.08.30 (242) 16:10:00  7.300   186.0   324.0
2017.08.30 (242) 16:15:00  7.300   186.0   319.0
2017.08.30 (242) 16:20:00  7.300   192.0   328.0
2017.08.30 (242) 16:25:00  7.400   184.0   336.0
2017.08.30 (242) 16:30:00  7.500   189.0   345.0
2017.08.30 (242) 16:35:00  7.600   201.0   345.0
2017.08.30 (242) 16:40:00  7.700   198.0   335.0
2017.08.30 (242) 16:45:00  7.800   197.0   328.0
2017.08.30 (242) 16:50:00  7.900   197.0   328.0
2017.08.30 (242) 16:55:00  7.900   198.0   328.0
2017.08.30 (242) 17:00:00  7.900   200.0   324.0
2017.08.30 (242) 17:05:00  8.100   203.0   322.0
2017.08.30 (242) 17:10:00  8.400   198.0   325.0
2017.08.30 (242) 17:15:00  8.700   191.0   313.0
2017.08.30 (242) 17:20:00  8.900   197.0   309.0
2017.08.30 (242) 17:25:00  9.100   198.0   304.0
2017.08.30 (242) 17:30:00  9.200   189.0   295.0
2017.08.30 (242) 17:35:00  9.400   191.0   289.0
2017.08.30 (242) 17:40:00  9.600   184.0   286.0
2017.08.30 (242) 17:45:00  9.400   186.0   280.0
2017.08.30 (242) 17:50:00  9.600   195.0   274.0
2017.08.30 (242) 17:55:00  9.600   189.0   271.0
2017.08.30 (242) 18:00:00  9.400   181.0   268.0
2017.08.30 (242) 18:05:00  9.400   191.0   265.0
2017.08.30 (242) 18:10:00  9.400   187.0   259.0
2017.08.30 (242) 18:15:00  9.300   189.0   254.0
2017.08.30 (242) 18:20:00  9.100   192.0   251.0
2017.08.30 (242) 18:25:00  8.600   203.0   250.0
2017.08.30 (242) 18:30:00  8.500   209.0   251.0
2017.08.30 (242) 18:35:00  8.200   206.0   250.0
2017.08.30 (242) 18:40:00  8.300   210.0   250.0
2017.08.30 (242) 18:45:00  7.900   209.0   251.0
2017.08.30 (242) 18:50:00  7.800   209.0   245.0
2017.08.30 (242) 18:55:00  7.500   212.0   241.0
2017.08.30 (242) 19:00:00  7.300   213.0   245.0
2017.08.30 (242) 19:05:00  6.900   215.0   239.0
2017.08.30 (242) 19:10:00  6.700   212.0   244.0
2017.08.30 (242) 19:15:00  6.400   215.0   241.0
2017.08.30 (242) 19:20:00  6.200   215.0   238.0
2017.08.30 (242) 19:25:00  6.200   207.0   244.0
2017.08.30 (242) 19:30:00  6.100   210.0   245.0
2017.08.30 (242) 19:35:00  6.000   215.0   238.0
2017.08.30 (242) 19:40:00  6.000   218.0   241.0
2017.08.30 (242) 19:45:00  6.000   209.0   231.0
2017.08.30 (242) 19:50:00  5.700   212.0   231.0
2017.08.30 (242) 19:55:00  5.600   210.0   238.0
2017.08.30 (242) 20:00:00  5.600   213.0   239.0
2017.08.30 (242) 20:05:00  5.700   221.0   247.0
2017.08.30 (242) 20:10:00  5.600   218.0   239.0
2017.08.30 (242) 20:15:00  5.600   219.0   234.0
2017.08.30 (242) 20:20:00  5.600   216.0   227.0
2017.08.30 (242) 20:25:00  5.600   209.0   231.0
2017.08.30 (242) 20:30:00  5.300   209.0   231.0
2017.08.30 (242) 20:35:00  5.300   210.0   230.0
2017.08.30 (242) 20:40:00  5.100   209.0   227.0
2017.08.30 (242) 20:45:00  5.000   204.0   227.0
2017.08.30 (242) 20:50:00  4.900   207.0   231.0
2017.08.30 (242) 20:55:00  4.700   206.0   234.0
2017.08.30 (242) 21:00:00  4.500   207.0   230.0
2017.08.30 (242) 21:05:00  4.300   206.0   230.0
2017.08.30 (242) 21:10:00  4.100   200.0   222.0
2017.08.30 (242) 21:15:00  3.800   197.0   227.0
2017.08.30 (242) 21:20:00  3.600   197.0   234.0
2017.08.30 (242) 21:25:00  3.600   203.0   251.0
2017.08.30 (242) 21:30:00  3.600   198.0   268.0
2017.08.30 (242) 21:35:00  3.600   213.0   262.0
2017.08.30 (242) 21:40:00  3.500   213.0   253.0
2017.08.30 (242) 21:45:00  3.300   222.0   247.0
2017.08.30 (242) 21:50:00  3.300   212.0   257.0
2017.08.30 (242) 21:55:00  3.500   221.0   263.0
2017.08.30 (242) 22:00:00  3.300   233.0   250.0
2017.08.30 (242) 22:05:00  3.300   224.0   245.0
2017.08.30 (242) 22:10:00  3.200   224.0   260.0
2017.08.30 (242) 22:15:00  3.200   224.0   254.0
2017.08.30 (242) 22:20:00  3.100   219.0   259.0
2017.08.30 (242) 22:25:00  3.100   224.0   263.0
2017.08.30 (242) 22:30:00  3.100   222.0   271.0
2017.08.30 (242) 22:35:00  3.100   234.0   271.0
2017.08.30 (242) 22:40:00  3.100   236.0   263.0
2017.08.30 (242) 22:45:00  3.100   236.0   265.0
2017.08.30 (242) 22:50:00  3.100   230.0   263.0
2017.08.30 (242) 22:55:00  3.100   227.0   263.0
2017.08.30 (242) 23:00:00  3.100   225.0   260.0
2017.08.30 (242) 23:05:00  3.100   231.0   268.0
2017.08.30 (242) 23:10:00  3.000   231.0   263.0
2017.08.30 (242) 23:15:00  2.900   228.0   257.0
2017.08.30 (242) 23:20:00  2.800   224.0   251.0
2017.08.30 (242) 23:25:00  2.700   228.0   253.0
2017.08.30 (242) 23:30:00  2.700   231.0   259.0
2017.08.30 (242) 23:35:00  2.700   233.0   257.0
2017.08.30 (242) 23:40:00  2.600   230.0   256.0
2017.08.30 (242) 23:45:00  2.600   225.0   260.0
2017.08.30 (242) 23:50:00  2.700   228.0   277.0
2017.08.30 (242) 23:55:00  2.600   238.0   263.0
