yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.28 (240) 00:00:00  2.300   247.0   278.0
2017.08.28 (240) 00:05:00  2.200   268.0   298.0
2017.08.28 (240) 00:10:00  2.200   315.0   362.0
2017.08.28 (240) 00:15:00  2.200   316.0   333.0
2017.08.28 (240) 00:20:00  2.300   316.0   347.0
2017.08.28 (240) 00:25:00  2.400   315.0   350.0
2017.08.28 (240) 00:30:00  2.400   312.0   338.0
2017.08.28 (240) 00:35:00  2.400   309.0   331.0
2017.08.28 (240) 00:40:00  2.500   300.0   336.0
2017.08.28 (240) 00:45:00  2.600   300.0   307.0
2017.08.28 (240) 00:50:00  2.600   289.0   310.0
2017.08.28 (240) 00:55:00  2.600   285.0   303.0
2017.08.28 (240) 01:00:00  2.600   283.0   298.0
2017.08.28 (240) 01:05:00  2.700   265.0   286.0
2017.08.28 (240) 01:10:00  2.700   272.0   289.0
2017.08.28 (240) 01:15:00  2.700   259.0   281.0
2017.08.28 (240) 01:20:00  2.700   254.0   272.0
2017.08.28 (240) 01:25:00  2.700   248.0   266.0
2017.08.28 (240) 01:30:00  2.700   248.0   269.0
2017.08.28 (240) 01:35:00  3.000   248.0   274.0
2017.08.28 (240) 01:40:00  2.800   244.0   272.0
2017.08.28 (240) 01:45:00  2.800   245.0   259.0
2017.08.28 (240) 01:50:00  3.100   250.0   295.0
2017.08.28 (240) 01:55:00  3.100   248.0   278.0
2017.08.28 (240) 02:00:00  3.000   247.0   268.0
2017.08.28 (240) 02:05:00  3.000   239.0   285.0
2017.08.28 (240) 02:10:00  3.000   259.0   283.0
2017.08.28 (240) 02:15:00  3.200   251.0   294.0
2017.08.28 (240) 02:20:00  3.100   253.0   298.0
2017.08.28 (240) 02:25:00  3.200   244.0   289.0
2017.08.28 (240) 02:30:00  3.000   242.0   262.0
2017.08.28 (240) 02:35:00  3.100   241.0   359.0
2017.08.28 (240) 02:40:00  3.000   247.0   348.0
2017.08.28 (240) 02:45:00  3.100   242.0   274.0
2017.08.28 (240) 02:50:00  2.900   234.0   254.0
2017.08.28 (240) 02:55:00  3.200   247.0   288.0
2017.08.28 (240) 03:00:00  3.100   247.0   289.0
2017.08.28 (240) 03:05:00  3.100   251.0   271.0
2017.08.28 (240) 03:10:00  3.100   239.0   301.0
2017.08.28 (240) 03:15:00  3.100   242.0   298.0
2017.08.28 (240) 03:20:00  3.000   242.0   271.0
2017.08.28 (240) 03:25:00  2.700   242.0   269.0
