yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.28 (240) 09:00:00  2.400   264.0   269.0
2017.08.28 (240) 09:05:00  2.600   259.0   262.0
2017.08.28 (240) 09:10:00  2.800   245.0   264.0
2017.08.28 (240) 09:15:00  3.200   231.0   255.0
2017.08.28 (240) 09:20:00  3.500   226.0   252.0
2017.08.28 (240) 09:25:00  3.700   224.0   243.0
2017.08.28 (240) 09:30:00  3.800   226.0   236.0
2017.08.28 (240) 09:35:00  4.000   224.0   240.0
2017.08.28 (240) 09:40:00  4.100   226.0   238.0
2017.08.28 (240) 09:45:00  4.300   221.0   233.0
2017.08.28 (240) 09:50:00  4.300   221.0   236.0
2017.08.28 (240) 09:55:00  4.400   221.0   236.0
2017.08.28 (240) 10:00:00  4.500   226.0   243.0
2017.08.28 (240) 10:05:00  4.700   224.0   245.0
2017.08.28 (240) 10:10:00  4.700   231.0   236.0
2017.08.28 (240) 10:15:00  4.800   224.0   245.0
2017.08.28 (240) 10:20:00  4.800   228.0   247.0
2017.08.28 (240) 10:25:00  5.000   233.0   252.0
2017.08.28 (240) 10:30:00  5.000   240.0   250.0
2017.08.28 (240) 10:35:00  5.000   238.0   252.0
2017.08.28 (240) 10:40:00  5.100   238.0   259.0
2017.08.28 (240) 10:45:00  5.200   233.0   262.0
2017.08.28 (240) 10:50:00  5.200   236.0   257.0
2017.08.28 (240) 10:55:00  5.300   231.0   252.0
2017.08.28 (240) 11:00:00  5.300   243.0   266.0
2017.08.28 (240) 11:05:00  5.400   240.0   262.0
2017.08.28 (240) 11:10:00  5.300   243.0   262.0
2017.08.28 (240) 11:15:00  5.300   238.0   269.0
2017.08.28 (240) 11:20:00  5.400   236.0   264.0
2017.08.28 (240) 11:25:00  5.300   228.0   264.0
2017.08.28 (240) 11:30:00  5.200   236.0   266.0
2017.08.28 (240) 11:35:00  5.300   224.0   278.0
2017.08.28 (240) 11:40:00  5.300   231.0   278.0
2017.08.28 (240) 11:45:00  5.300   228.0   283.0
2017.08.28 (240) 11:50:00  5.200   221.0   278.0
2017.08.28 (240) 11:55:00  5.200   233.0   283.0
2017.08.28 (240) 12:00:00  5.300   221.0   302.0
2017.08.28 (240) 12:05:00  5.300   221.0   302.0
2017.08.28 (240) 12:10:00  5.400   221.0   302.0
2017.08.28 (240) 12:15:00  5.500   219.0   307.0
2017.08.28 (240) 12:20:00  5.500   217.0   307.0
2017.08.28 (240) 12:25:00  5.400   245.0   304.0
2017.08.28 (240) 12:30:00  5.500   207.0   309.0
2017.08.28 (240) 12:35:00  5.600   209.0   331.0
2017.08.28 (240) 12:40:00  5.700   205.0   338.0
2017.08.28 (240) 12:45:00  5.800   202.0   314.0
2017.08.28 (240) 12:50:00  5.900   200.0   326.0
2017.08.28 (240) 12:55:00  5.900   212.0   331.0
2017.08.28 (240) 13:00:00  6.000   209.0   323.0
2017.08.28 (240) 13:05:00  6.100   214.0   316.0
2017.08.28 (240) 13:10:00  6.000   214.0   319.0
2017.08.28 (240) 13:15:00  6.000   212.0   333.0
2017.08.28 (240) 13:20:00  6.000   219.0   323.0
2017.08.28 (240) 13:25:00  6.100   207.0   333.0
2017.08.28 (240) 13:30:00  6.200   200.0   342.0
2017.08.28 (240) 13:35:00  6.300   214.0   340.0
2017.08.28 (240) 13:40:00  6.100   207.0   331.0
2017.08.28 (240) 13:45:00  6.300   198.0   328.0
2017.08.28 (240) 13:50:00  6.500   217.0   340.0
2017.08.28 (240) 13:55:00  6.600   209.0   335.0
2017.08.28 (240) 14:00:00  6.600   212.0   338.0
2017.08.28 (240) 14:05:00  6.800   238.0   333.0
2017.08.28 (240) 14:10:00  7.000   219.0   323.0
2017.08.28 (240) 14:15:00  7.000   226.0   319.0
2017.08.28 (240) 14:20:00  7.200   250.0   312.0
2017.08.28 (240) 14:25:00  7.300   236.0   309.0
2017.08.28 (240) 14:30:00  7.400   228.0   309.0
2017.08.28 (240) 14:35:00  7.300   224.0   302.0
2017.08.28 (240) 14:40:00  7.200   202.0   295.0
2017.08.28 (240) 14:45:00  7.200   207.0   297.0
2017.08.28 (240) 14:50:00  7.000   207.0   295.0
2017.08.28 (240) 14:55:00  6.800   231.0   304.0
2017.08.28 (240) 15:00:00  6.600   214.0   304.0
2017.08.28 (240) 15:05:00  6.700   207.0   347.0
2017.08.28 (240) 15:10:00  6.900   209.0   383.0
2017.08.28 (240) 15:15:00  6.900   214.0   380.0
2017.08.28 (240) 15:20:00  7.100   209.0   371.0
2017.08.28 (240) 15:25:00  7.200   212.0   361.0
2017.08.28 (240) 15:30:00  7.300   214.0   352.0
2017.08.28 (240) 15:35:00  7.300   205.0   347.0
2017.08.28 (240) 15:40:00  7.300   207.0   342.0
2017.08.28 (240) 15:45:00  7.400   207.0   340.0
2017.08.28 (240) 15:50:00  7.500   200.0   347.0
2017.08.28 (240) 15:55:00  7.700   205.0   345.0
2017.08.28 (240) 16:00:00  7.700   207.0   340.0
2017.08.28 (240) 16:05:00  7.800   209.0   338.0
2017.08.28 (240) 16:10:00  7.900   209.0   340.0
2017.08.28 (240) 16:15:00  8.000   205.0   347.0
2017.08.28 (240) 16:20:00  7.900   205.0   338.0
2017.08.28 (240) 16:25:00  8.100   207.0   345.0
2017.08.28 (240) 16:30:00  8.300   202.0   347.0
2017.08.28 (240) 16:35:00  8.300   202.0   338.0
2017.08.28 (240) 16:40:00  8.400   205.0   338.0
2017.08.28 (240) 16:45:00  8.500   NaN     335.0
2017.08.28 (240) 16:50:00  8.800   NaN     338.0
2017.08.28 (240) 16:55:00  8.900   NaN     331.0
2017.08.28 (240) 17:00:00  9.000   321.0   323.0
2017.08.28 (240) 17:05:00  9.200   312.0   319.0
2017.08.28 (240) 17:10:00  9.000   302.0   300.0
2017.08.28 (240) 17:15:00  9.300   304.0   307.0
2017.08.28 (240) 17:20:00  9.300   295.0   295.0
2017.08.28 (240) 17:25:00  9.300   297.0   297.0
2017.08.28 (240) 17:30:00  9.300   300.0   293.0
2017.08.28 (240) 17:35:00  9.400   290.0   281.0
2017.08.28 (240) 17:40:00  9.100   278.0   278.0
2017.08.28 (240) 17:45:00  9.200   271.0   271.0
2017.08.28 (240) 17:50:00  9.200   266.0   269.0
2017.08.28 (240) 17:55:00  9.300   262.0   269.0
2017.08.28 (240) 18:00:00  8.900   247.0   262.0
2017.08.28 (240) 18:05:00  9.000   252.0   257.0
2017.08.28 (240) 18:10:00  9.100   247.0   255.0
2017.08.28 (240) 18:15:00  9.000   252.0   255.0
2017.08.28 (240) 18:20:00  8.800   247.0   247.0
2017.08.28 (240) 18:25:00  8.400   257.0   257.0
2017.08.28 (240) 18:30:00  8.000   247.0   252.0
2017.08.28 (240) 18:35:00  7.800   238.0   262.0
2017.08.28 (240) 18:40:00  7.800   245.0   262.0
2017.08.28 (240) 18:45:00  7.800   250.0   264.0
2017.08.28 (240) 18:50:00  7.600   233.0   255.0
2017.08.28 (240) 18:55:00  NaN     NaN     NaN  
2017.08.28 (240) 19:00:00  7.500   243.0   255.0
2017.08.28 (240) 19:05:00  7.400   245.0   250.0
2017.08.28 (240) 19:10:00  7.200   238.0   257.0
2017.08.28 (240) 19:15:00  7.100   243.0   255.0
2017.08.28 (240) 19:20:00  7.100   236.0   259.0
2017.08.28 (240) 19:25:00  7.200   238.0   257.0
2017.08.28 (240) 19:30:00  7.100   250.0   259.0
2017.08.28 (240) 19:35:00  7.000   231.0   252.0
2017.08.28 (240) 19:40:00  6.800   231.0   245.0
2017.08.28 (240) 19:45:00  6.700   228.0   243.0
2017.08.28 (240) 19:50:00  6.600   224.0   245.0
2017.08.28 (240) 19:55:00  6.700   221.0   247.0
2017.08.28 (240) 20:00:00  6.400   217.0   233.0
2017.08.28 (240) 20:05:00  6.100   219.0   233.0
2017.08.28 (240) 20:10:00  5.600   212.0   228.0
2017.08.28 (240) 20:15:00  5.700   217.0   221.0
2017.08.28 (240) 20:20:00  5.600   221.0   231.0
2017.08.28 (240) 20:25:00  5.600   212.0   243.0
2017.08.28 (240) 20:30:00  5.500   217.0   233.0
2017.08.28 (240) 20:35:00  5.500   217.0   240.0
2017.08.28 (240) 20:40:00  5.300   214.0   238.0
2017.08.28 (240) 20:45:00  5.200   214.0   238.0
2017.08.28 (240) 20:50:00  5.000   209.0   236.0
2017.08.28 (240) 20:55:00  4.900   212.0   226.0
2017.08.28 (240) 21:00:00  4.700   212.0   233.0
2017.08.28 (240) 21:05:00  4.500   217.0   231.0
2017.08.28 (240) 21:10:00  4.600   221.0   240.0
2017.08.28 (240) 21:15:00  4.400   212.0   240.0
2017.08.28 (240) 21:20:00  4.200   207.0   238.0
2017.08.28 (240) 21:25:00  4.100   217.0   240.0
2017.08.28 (240) 21:30:00  4.000   209.0   236.0
2017.08.28 (240) 21:35:00  3.800   207.0   233.0
2017.08.28 (240) 21:40:00  3.600   209.0   228.0
2017.08.28 (240) 21:45:00  3.400   198.0   226.0
2017.08.28 (240) 21:50:00  3.300   200.0   233.0
2017.08.28 (240) 21:55:00  3.300   207.0   240.0
2017.08.28 (240) 22:00:00  3.200   209.0   238.0
2017.08.28 (240) 22:05:00  3.100   214.0   238.0
2017.08.28 (240) 22:10:00  3.000   217.0   240.0
2017.08.28 (240) 22:15:00  2.900   214.0   236.0
2017.08.28 (240) 22:20:00  2.800   209.0   240.0
2017.08.28 (240) 22:25:00  2.700   217.0   245.0
2017.08.28 (240) 22:30:00  2.700   219.0   250.0
2017.08.28 (240) 22:35:00  2.600   221.0   238.0
2017.08.28 (240) 22:40:00  2.500   219.0   245.0
2017.08.28 (240) 22:45:00  2.400   221.0   264.0
2017.08.28 (240) 22:50:00  2.400   231.0   266.0
2017.08.28 (240) 22:55:00  2.300   243.0   285.0
2017.08.28 (240) 23:00:00  2.300   255.0   276.0
2017.08.28 (240) 23:05:00  2.300   262.0   290.0
2017.08.28 (240) 23:10:00  2.300   271.0   304.0
2017.08.28 (240) 23:15:00  2.300   278.0   309.0
2017.08.28 (240) 23:20:00  2.300   276.0   297.0
2017.08.28 (240) 23:25:00  2.200   278.0   293.0
2017.08.28 (240) 23:30:00  2.200   276.0   300.0
2017.08.28 (240) 23:35:00  2.200   283.0   302.0
2017.08.28 (240) 23:40:00  2.300   285.0   309.0
2017.08.28 (240) 23:45:00  2.200   288.0   297.0
2017.08.28 (240) 23:50:00  2.300   276.0   307.0
2017.08.28 (240) 23:55:00  2.300   285.0   285.0
