yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.30 (242) 09:00:00  2.500   245.0   268.0
2017.08.30 (242) 09:05:00  2.800   237.0   262.0
2017.08.30 (242) 09:10:00  3.100   241.0   256.0
2017.08.30 (242) 09:15:00  3.400   228.0   244.0
2017.08.30 (242) 09:20:00  3.600   222.0   234.0
2017.08.30 (242) 09:25:00  3.800   222.0   228.0
2017.08.30 (242) 09:30:00  4.000   222.0   227.0
2017.08.30 (242) 09:35:00  4.200   221.0   228.0
2017.08.30 (242) 09:40:00  4.300   219.0   228.0
2017.08.30 (242) 09:45:00  4.400   218.0   225.0
2017.08.30 (242) 09:50:00  4.300   213.0   225.0
2017.08.30 (242) 09:55:00  4.400   219.0   230.0
2017.08.30 (242) 10:00:00  4.600   225.0   231.0
2017.08.30 (242) 10:05:00  4.600   221.0   224.0
2017.08.30 (242) 10:10:00  4.800   222.0   231.0
2017.08.30 (242) 10:15:00  4.900   225.0   237.0
2017.08.30 (242) 10:20:00  5.000   227.0   241.0
2017.08.30 (242) 10:25:00  5.100   230.0   236.0
2017.08.30 (242) 10:30:00  5.300   231.0   233.0
2017.08.30 (242) 10:35:00  4.800   227.0   239.0
2017.08.30 (242) 10:40:00  4.800   225.0   242.0
2017.08.30 (242) 10:45:00  5.000   215.0   253.0
2017.08.30 (242) 10:50:00  5.000   218.0   253.0
2017.08.30 (242) 10:55:00  5.100   211.0   254.0
2017.08.30 (242) 11:00:00  5.300   213.0   253.0
2017.08.30 (242) 11:05:00  5.300   218.0   256.0
2017.08.30 (242) 11:10:00  5.200   205.0   256.0
2017.08.30 (242) 11:15:00  5.200   204.0   251.0
2017.08.30 (242) 11:20:00  5.300   216.0   265.0
2017.08.30 (242) 11:25:00  5.400   208.0   268.0
2017.08.30 (242) 11:30:00  5.400   210.0   262.0
2017.08.30 (242) 11:35:00  5.600   210.0   286.0
2017.08.30 (242) 11:40:00  5.500   216.0   274.0
2017.08.30 (242) 11:45:00  5.500   222.0   279.0
2017.08.30 (242) 11:50:00  5.600   207.0   285.0
2017.08.30 (242) 11:55:00  5.700   205.0   297.0
2017.08.30 (242) 12:00:00  5.800   201.0   303.0
2017.08.30 (242) 12:05:00  5.900   199.0   290.0
2017.08.30 (242) 12:10:00  6.000   213.0   283.0
2017.08.30 (242) 12:15:00  5.900   244.0   279.0
2017.08.30 (242) 12:20:00  5.900   215.0   267.0
2017.08.30 (242) 12:25:00  5.700   205.0   270.0
2017.08.30 (242) 12:30:00  5.600   208.0   280.0
2017.08.30 (242) 12:35:00  5.700   205.0   302.0
2017.08.30 (242) 12:40:00  5.700   195.0   305.0
2017.08.30 (242) 12:45:00  5.800   196.0   302.0
2017.08.30 (242) 12:50:00  5.800   185.0   302.0
2017.08.30 (242) 12:55:00  5.800   176.0   314.0
2017.08.30 (242) 13:00:00  5.800   175.0   316.0
2017.08.30 (242) 13:05:00  5.800   239.0   308.0
2017.08.30 (242) 13:10:00  5.700   231.0   303.0
2017.08.30 (242) 13:15:00  5.800   225.0   311.0
2017.08.30 (242) 13:20:00  5.700   181.0   323.0
2017.08.30 (242) 13:25:00  5.800   224.0   332.0
2017.08.30 (242) 13:30:00  5.700   221.0   337.0
2017.08.30 (242) 13:35:00  5.800   228.0   NaN  
2017.08.30 (242) 13:40:00  5.700   195.0   335.0
2017.08.30 (242) 13:45:00  5.700   196.0   322.0
2017.08.30 (242) 13:50:00  5.800   196.0   340.0
2017.08.30 (242) 13:55:00  5.800   205.0   331.0
2017.08.30 (242) 14:00:00  5.800   202.0   325.0
2017.08.30 (242) 14:05:00  5.800   195.0   349.0
2017.08.30 (242) 14:10:00  5.900   195.0   339.0
2017.08.30 (242) 14:15:00  5.900   196.0   335.0
2017.08.30 (242) 14:20:00  6.000   189.0   343.0
2017.08.30 (242) 14:25:00  6.200   185.0   331.0
2017.08.30 (242) 14:30:00  6.200   192.0   339.0
2017.08.30 (242) 14:35:00  6.400   182.0   334.0
2017.08.30 (242) 14:40:00  6.500   189.0   325.0
2017.08.30 (242) 14:45:00  6.500   184.0   322.0
2017.08.30 (242) 14:50:00  6.600   185.0   306.0
2017.08.30 (242) 14:55:00  6.600   182.0   305.0
2017.08.30 (242) 15:00:00  6.600   181.0   305.0
2017.08.30 (242) 15:05:00  6.500   173.0   308.0
2017.08.30 (242) 15:10:00  6.600   176.0   314.0
2017.08.30 (242) 15:15:00  6.700   164.0   317.0
2017.08.30 (242) 15:20:00  6.800   161.0   320.0
2017.08.30 (242) 15:25:00  6.800   158.0   325.0
2017.08.30 (242) 15:30:00  6.900   155.0   322.0
2017.08.30 (242) 15:35:00  7.000   146.0   317.0
2017.08.30 (242) 15:40:00  7.000   149.0   309.0
2017.08.30 (242) 15:45:00  7.100   149.0   309.0
2017.08.30 (242) 15:50:00  7.100   150.0   309.0
2017.08.30 (242) 15:55:00  7.100   147.0   314.0
2017.08.30 (242) 16:00:00  7.300   146.0   319.0
2017.08.30 (242) 16:05:00  7.200   144.0   319.0
2017.08.30 (242) 16:10:00  7.300   144.0   316.0
2017.08.30 (242) 16:15:00  7.400   146.0   309.0
2017.08.30 (242) 16:20:00  7.300   143.0   317.0
2017.08.30 (242) 16:25:00  7.400   138.0   323.0
2017.08.30 (242) 16:30:00  7.400   136.0   340.0
2017.08.30 (242) 16:35:00  7.600   140.0   339.0
2017.08.30 (242) 16:40:00  7.700   140.0   328.0
2017.08.30 (242) 16:45:00  7.900   138.0   325.0
2017.08.30 (242) 16:50:00  7.900   138.0   323.0
2017.08.30 (242) 16:55:00  8.000   136.0   323.0
2017.08.30 (242) 17:00:00  8.000   140.0   322.0
2017.08.30 (242) 17:05:00  8.300   138.0   322.0
2017.08.30 (242) 17:10:00  8.500   132.0   314.0
2017.08.30 (242) 17:15:00  8.600   136.0   308.0
2017.08.30 (242) 17:20:00  8.900   136.0   299.0
2017.08.30 (242) 17:25:00  9.100   136.0   296.0
2017.08.30 (242) 17:30:00  9.300   135.0   290.0
2017.08.30 (242) 17:35:00  9.300   132.0   277.0
2017.08.30 (242) 17:40:00  9.100   130.0   279.0
2017.08.30 (242) 17:45:00  9.000   130.0   271.0
2017.08.30 (242) 17:50:00  9.300   126.0   268.0
2017.08.30 (242) 17:55:00  9.300   129.0   262.0
2017.08.30 (242) 18:00:00  9.400   129.0   264.0
2017.08.30 (242) 18:05:00  9.300   256.0   260.0
2017.08.30 (242) 18:10:00  9.300   136.0   250.0
2017.08.30 (242) 18:15:00  9.300   123.0   247.0
2017.08.30 (242) 18:20:00  8.900   126.0   248.0
2017.08.30 (242) 18:25:00  8.700   123.0   245.0
2017.08.30 (242) 18:30:00  8.500   124.0   244.0
2017.08.30 (242) 18:35:00  8.300   123.0   241.0
2017.08.30 (242) 18:40:00  7.700   127.0   241.0
2017.08.30 (242) 18:45:00  7.700   123.0   245.0
2017.08.30 (242) 18:50:00  7.700   124.0   239.0
2017.08.30 (242) 18:55:00  7.500   169.0   236.0
2017.08.30 (242) 19:00:00  7.200   176.0   241.0
2017.08.30 (242) 19:05:00  6.800   201.0   233.0
2017.08.30 (242) 19:10:00  6.700   199.0   239.0
2017.08.30 (242) 19:15:00  6.400   204.0   236.0
2017.08.30 (242) 19:20:00  6.200   216.0   230.0
2017.08.30 (242) 19:25:00  6.000   210.0   236.0
2017.08.30 (242) 19:30:00  6.100   211.0   245.0
2017.08.30 (242) 19:35:00  6.000   210.0   237.0
2017.08.30 (242) 19:40:00  6.000   227.0   237.0
2017.08.30 (242) 19:45:00  5.900   228.0   233.0
2017.08.30 (242) 19:50:00  5.600   227.0   230.0
2017.08.30 (242) 19:55:00  5.600   224.0   225.0
2017.08.30 (242) 20:00:00  5.600   221.0   236.0
2017.08.30 (242) 20:05:00  5.600   227.0   242.0
2017.08.30 (242) 20:10:00  5.700   222.0   233.0
2017.08.30 (242) 20:15:00  5.600   227.0   228.0
2017.08.30 (242) 20:20:00  5.600   222.0   227.0
2017.08.30 (242) 20:25:00  5.500   218.0   218.0
2017.08.30 (242) 20:30:00  5.400   211.0   219.0
2017.08.30 (242) 20:35:00  5.300   215.0   227.0
2017.08.30 (242) 20:40:00  5.000   211.0   224.0
2017.08.30 (242) 20:45:00  4.900   207.0   219.0
2017.08.30 (242) 20:50:00  4.800   213.0   216.0
2017.08.30 (242) 20:55:00  4.800   204.0   224.0
2017.08.30 (242) 21:00:00  4.500   204.0   224.0
2017.08.30 (242) 21:05:00  4.300   202.0   215.0
2017.08.30 (242) 21:10:00  4.100   201.0   215.0
2017.08.30 (242) 21:15:00  3.800   196.0   211.0
2017.08.30 (242) 21:20:00  3.600   198.0   221.0
2017.08.30 (242) 21:25:00  3.600   195.0   244.0
2017.08.30 (242) 21:30:00  3.600   210.0   253.0
2017.08.30 (242) 21:35:00  3.600   224.0   250.0
2017.08.30 (242) 21:40:00  3.500   221.0   237.0
2017.08.30 (242) 21:45:00  3.300   218.0   233.0
2017.08.30 (242) 21:50:00  3.400   211.0   260.0
2017.08.30 (242) 21:55:00  3.500   210.0   250.0
2017.08.30 (242) 22:00:00  3.300   213.0   244.0
2017.08.30 (242) 22:05:00  3.300   207.0   233.0
2017.08.30 (242) 22:10:00  3.200   207.0   245.0
2017.08.30 (242) 22:15:00  3.200   219.0   239.0
2017.08.30 (242) 22:20:00  3.100   219.0   248.0
2017.08.30 (242) 22:25:00  3.100   233.0   251.0
2017.08.30 (242) 22:30:00  3.100   244.0   271.0
2017.08.30 (242) 22:35:00  3.100   245.0   271.0
2017.08.30 (242) 22:40:00  3.100   241.0   264.0
2017.08.30 (242) 22:45:00  3.100   239.0   257.0
2017.08.30 (242) 22:50:00  3.100   233.0   251.0
2017.08.30 (242) 22:55:00  3.100   233.0   247.0
2017.08.30 (242) 23:00:00  3.100   225.0   248.0
2017.08.30 (242) 23:05:00  3.000   230.0   248.0
2017.08.30 (242) 23:10:00  3.000   233.0   248.0
2017.08.30 (242) 23:15:00  2.900   234.0   248.0
2017.08.30 (242) 23:20:00  2.800   228.0   242.0
2017.08.30 (242) 23:25:00  2.700   230.0   241.0
2017.08.30 (242) 23:30:00  2.800   234.0   257.0
2017.08.30 (242) 23:35:00  2.700   233.0   245.0
2017.08.30 (242) 23:40:00  2.600   231.0   247.0
2017.08.30 (242) 23:45:00  2.600   225.0   244.0
2017.08.30 (242) 23:50:00  2.700   239.0   267.0
2017.08.30 (242) 23:55:00  2.600   241.0   262.0
