yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.15 (227) 00:00:00  NaN     NaN     NaN  
2017.08.15 (227) 00:05:00  NaN     NaN     NaN  
2017.08.15 (227) 00:10:00  NaN     NaN     NaN  
2017.08.15 (227) 00:15:00  NaN     NaN     NaN  
2017.08.15 (227) 00:20:00  NaN     NaN     NaN  
2017.08.15 (227) 00:25:00  NaN     NaN     NaN  
2017.08.15 (227) 00:30:00  NaN     NaN     NaN  
2017.08.15 (227) 00:35:00  NaN     NaN     NaN  
2017.08.15 (227) 00:40:00  NaN     NaN     NaN  
2017.08.15 (227) 00:45:00  NaN     NaN     NaN  
2017.08.15 (227) 00:50:00  NaN     NaN     NaN  
2017.08.15 (227) 00:55:00  NaN     NaN     NaN  
2017.08.15 (227) 01:00:00  NaN     NaN     NaN  
2017.08.15 (227) 01:05:00  NaN     NaN     NaN  
2017.08.15 (227) 01:10:00  NaN     NaN     NaN  
2017.08.15 (227) 01:15:00  NaN     NaN     NaN  
2017.08.15 (227) 01:20:00  NaN     NaN     NaN  
2017.08.15 (227) 01:25:00  2.100   244.0   259.0
2017.08.15 (227) 01:30:00  2.100   234.0   245.0
2017.08.15 (227) 01:35:00  NaN     NaN     NaN  
2017.08.15 (227) 01:40:00  2.000   224.0   236.0
2017.08.15 (227) 01:45:00  NaN     NaN     NaN  
2017.08.15 (227) 01:50:00  NaN     NaN     NaN  
2017.08.15 (227) 01:55:00  NaN     NaN     NaN  
2017.08.15 (227) 02:00:00  NaN     NaN     NaN  
2017.08.15 (227) 02:05:00  NaN     NaN     NaN  
2017.08.15 (227) 02:10:00  NaN     NaN     NaN  
2017.08.15 (227) 02:15:00  NaN     NaN     NaN  
2017.08.15 (227) 02:20:00  NaN     NaN     NaN  
2017.08.15 (227) 02:25:00  NaN     NaN     NaN  
2017.08.15 (227) 02:30:00  NaN     NaN     NaN  
2017.08.15 (227) 02:35:00  NaN     NaN     NaN  
2017.08.15 (227) 02:40:00  1.900   233.0   247.0
2017.08.15 (227) 02:45:00  2.000   225.0   236.0
2017.08.15 (227) 02:50:00  2.000   225.0   239.0
2017.08.15 (227) 02:55:00  NaN     NaN     NaN  
2017.08.15 (227) 03:00:00  NaN     NaN     NaN  
2017.08.15 (227) 03:05:00  NaN     NaN     NaN  
2017.08.15 (227) 03:10:00  NaN     NaN     NaN  
2017.08.15 (227) 03:15:00  NaN     NaN     NaN  
2017.08.15 (227) 03:20:00  NaN     NaN     NaN  
2017.08.15 (227) 03:25:00  NaN     NaN     NaN  
2017.08.15 (227) 03:30:00  NaN     NaN     NaN  
2017.08.15 (227) 03:35:00  NaN     NaN     NaN  
2017.08.15 (227) 03:40:00  NaN     NaN     NaN  
2017.08.15 (227) 03:45:00  NaN     NaN     NaN  
2017.08.15 (227) 03:50:00  NaN     NaN     NaN  
2017.08.15 (227) 03:55:00  NaN     NaN     NaN  
2017.08.15 (227) 04:00:00  NaN     NaN     NaN  
2017.08.15 (227) 04:05:00  NaN     NaN     NaN  
2017.08.15 (227) 04:10:00  2.200   245.0   272.0
2017.08.15 (227) 04:15:00  NaN     NaN     NaN  
2017.08.15 (227) 04:20:00  NaN     NaN     NaN  
2017.08.15 (227) 04:25:00  NaN     NaN     NaN  
2017.08.15 (227) 04:30:00  NaN     NaN     NaN  
