yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.28 (240) 00:00:00  2.300   242.0   280.0
2017.08.28 (240) 00:05:00  2.200   257.0   297.0
2017.08.28 (240) 00:10:00  2.200   272.0   336.0
2017.08.28 (240) 00:15:00  2.300   297.0   354.0
2017.08.28 (240) 00:20:00  2.300   306.0   353.0
2017.08.28 (240) 00:25:00  2.400   307.0   354.0
2017.08.28 (240) 00:30:00  2.400   304.0   347.0
2017.08.28 (240) 00:35:00  2.500   303.0   345.0
2017.08.28 (240) 00:40:00  2.500   303.0   335.0
2017.08.28 (240) 00:45:00  2.600   292.0   338.0
2017.08.28 (240) 00:50:00  2.600   289.0   322.0
2017.08.28 (240) 00:55:00  2.600   281.0   312.0
2017.08.28 (240) 01:00:00  2.700   278.0   312.0
2017.08.28 (240) 01:05:00  2.700   269.0   304.0
2017.08.28 (240) 01:10:00  2.800   265.0   303.0
2017.08.28 (240) 01:15:00  2.800   260.0   298.0
2017.08.28 (240) 01:20:00  2.800   254.0   288.0
2017.08.28 (240) 01:25:00  2.800   248.0   280.0
2017.08.28 (240) 01:30:00  2.700   245.0   271.0
2017.08.28 (240) 01:35:00  2.800   244.0   278.0
2017.08.28 (240) 01:40:00  2.800   245.0   278.0
2017.08.28 (240) 01:45:00  2.800   245.0   280.0
2017.08.28 (240) 01:50:00  2.900   247.0   285.0
2017.08.28 (240) 01:55:00  3.100   250.0   291.0
2017.08.28 (240) 02:00:00  3.000   250.0   288.0
2017.08.28 (240) 02:05:00  2.900   254.0   289.0
2017.08.28 (240) 02:10:00  3.000   254.0   294.0
2017.08.28 (240) 02:15:00  2.900   256.0   288.0
2017.08.28 (240) 02:20:00  2.800   254.0   292.0
2017.08.28 (240) 02:25:00  2.900   256.0   289.0
2017.08.28 (240) 02:30:00  3.000   248.0   281.0
2017.08.28 (240) 02:35:00  2.900   241.0   268.0
2017.08.28 (240) 02:40:00  2.900   244.0   275.0
2017.08.28 (240) 02:45:00  2.900   248.0   278.0
2017.08.28 (240) 02:50:00  2.900   245.0   274.0
2017.08.28 (240) 02:55:00  2.800   241.0   271.0
2017.08.28 (240) 03:00:00  2.800   244.0   272.0
2017.08.28 (240) 03:05:00  2.800   247.0   277.0
2017.08.28 (240) 03:10:00  2.800   230.0   277.0
2017.08.28 (240) 03:15:00  2.800   247.0   271.0
2017.08.28 (240) 03:20:00  2.800   239.0   274.0
2017.08.28 (240) 03:25:00  2.800   242.0   277.0
2017.08.28 (240) 03:30:00  2.700   244.0   275.0
2017.08.28 (240) 03:35:00  2.600   236.0   274.0
2017.08.28 (240) 03:40:00  2.600   241.0   289.0
2017.08.28 (240) 03:45:00  NaN     NaN     NaN  
2017.08.28 (240) 03:50:00  NaN     NaN     NaN  
2017.08.28 (240) 03:55:00  2.600   265.0   312.0
2017.08.28 (240) 04:00:00  2.700   269.0   335.0
2017.08.28 (240) 04:05:00  2.600   269.0   322.0
2017.08.28 (240) 04:10:00  2.700   277.0   322.0
2017.08.28 (240) 04:15:00  2.700   274.0   318.0
2017.08.28 (240) 04:20:00  2.700   269.0   312.0
2017.08.28 (240) 04:25:00  2.600   269.0   306.0
2017.08.28 (240) 04:30:00  NaN     NaN     NaN  
2017.08.28 (240) 04:35:00  NaN     NaN     NaN  
2017.08.28 (240) 04:40:00  NaN     NaN     NaN  
2017.08.28 (240) 04:45:00  2.600   283.0   322.0
2017.08.28 (240) 04:50:00  NaN     NaN     NaN  
2017.08.28 (240) 04:55:00  NaN     NaN     NaN  
2017.08.28 (240) 05:00:00  NaN     NaN     NaN  
2017.08.28 (240) 05:05:00  NaN     NaN     NaN  
2017.08.28 (240) 05:10:00  NaN     NaN     NaN  
2017.08.28 (240) 05:15:00  NaN     NaN     NaN  
2017.08.28 (240) 05:20:00  NaN     NaN     NaN  
2017.08.28 (240) 05:25:00  NaN     NaN     NaN  
2017.08.28 (240) 05:30:00  NaN     NaN     NaN  
2017.08.28 (240) 05:35:00  NaN     NaN     NaN  
2017.08.28 (240) 05:40:00  NaN     NaN     NaN  
2017.08.28 (240) 05:45:00  2.800   272.0   304.0
2017.08.28 (240) 05:50:00  2.800   248.0   286.0
2017.08.28 (240) 05:55:00  2.900   242.0   272.0
2017.08.28 (240) 06:00:00  2.900   236.0   262.0
2017.08.28 (240) 06:05:00  2.900   230.0   254.0
2017.08.28 (240) 06:10:00  3.000   227.0   256.0
2017.08.28 (240) 06:15:00  3.000   221.0   259.0
2017.08.28 (240) 06:20:00  3.000   230.0   260.0
2017.08.28 (240) 06:25:00  3.100   231.0   262.0
2017.08.28 (240) 06:30:00  3.100   233.0   262.0
2017.08.28 (240) 06:35:00  3.100   228.0   256.0
2017.08.28 (240) 06:40:00  3.100   224.0   242.0
2017.08.28 (240) 06:45:00  3.000   222.0   244.0
2017.08.28 (240) 06:50:00  3.000   224.0   239.0
2017.08.28 (240) 06:55:00  3.000   219.0   239.0
2017.08.28 (240) 07:00:00  3.000   213.0   234.0
2017.08.28 (240) 07:05:00  2.900   210.0   231.0
2017.08.28 (240) 07:10:00  2.800   213.0   230.0
2017.08.28 (240) 07:15:00  2.600   209.0   230.0
2017.08.28 (240) 07:20:00  2.400   210.0   231.0
2017.08.28 (240) 07:25:00  2.200   210.0   227.0
2017.08.28 (240) 07:30:00  NaN     NaN     NaN  
2017.08.28 (240) 07:35:00  NaN     NaN     NaN  
2017.08.28 (240) 07:40:00  NaN     NaN     NaN  
2017.08.28 (240) 07:45:00  NaN     NaN     NaN  
2017.08.28 (240) 07:50:00  NaN     NaN     NaN  
2017.08.28 (240) 07:55:00  NaN     NaN     NaN  
2017.08.28 (240) 08:00:00  NaN     NaN     NaN  
2017.08.28 (240) 08:05:00  NaN     NaN     NaN  
2017.08.28 (240) 08:10:00  NaN     NaN     NaN  
2017.08.28 (240) 08:15:00  NaN     NaN     NaN  
2017.08.28 (240) 08:20:00  NaN     NaN     NaN  
2017.08.28 (240) 08:25:00  NaN     NaN     NaN  
2017.08.28 (240) 08:30:00  NaN     NaN     NaN  
2017.08.28 (240) 08:35:00  NaN     NaN     NaN  
2017.08.28 (240) 08:40:00  NaN     NaN     NaN  
2017.08.28 (240) 08:45:00  NaN     NaN     NaN  
2017.08.28 (240) 08:50:00  NaN     NaN     NaN  
2017.08.28 (240) 08:55:00  NaN     NaN     NaN  
2017.08.28 (240) 09:00:00  NaN     NaN     NaN  
2017.08.28 (240) 09:05:00  2.700   250.0   288.0
2017.08.28 (240) 09:10:00  3.000   244.0   275.0
2017.08.28 (240) 09:15:00  3.200   238.0   262.0
2017.08.28 (240) 09:20:00  3.500   233.0   253.0
2017.08.28 (240) 09:25:00  3.700   219.0   244.0
2017.08.28 (240) 09:30:00  3.900   218.0   244.0
2017.08.28 (240) 09:35:00  4.000   221.0   241.0
2017.08.28 (240) 09:40:00  4.100   221.0   238.0
2017.08.28 (240) 09:45:00  4.200   216.0   236.0
2017.08.28 (240) 09:50:00  4.300   216.0   239.0
2017.08.28 (240) 09:55:00  4.400   215.0   239.0
2017.08.28 (240) 10:00:00  4.500   219.0   241.0
2017.08.28 (240) 10:05:00  4.700   216.0   245.0
2017.08.28 (240) 10:10:00  4.800   224.0   244.0
2017.08.28 (240) 10:15:00  4.800   219.0   247.0
2017.08.28 (240) 10:20:00  4.900   228.0   250.0
2017.08.28 (240) 10:25:00  4.900   230.0   248.0
2017.08.28 (240) 10:30:00  NaN     NaN     NaN  
2017.08.28 (240) 10:35:00  NaN     NaN     NaN  
2017.08.28 (240) 10:40:00  5.200   228.0   254.0
2017.08.28 (240) 10:45:00  5.300   230.0   260.0
2017.08.28 (240) 10:50:00  5.400   227.0   263.0
2017.08.28 (240) 10:55:00  5.300   224.0   253.0
2017.08.28 (240) 11:00:00  NaN     NaN     NaN  
2017.08.28 (240) 11:05:00  NaN     NaN     NaN  
2017.08.28 (240) 11:10:00  5.300   218.0   260.0
2017.08.28 (240) 11:15:00  5.400   222.0   268.0
2017.08.28 (240) 11:20:00  5.400   221.0   265.0
2017.08.28 (240) 11:25:00  5.300   225.0   266.0
2017.08.28 (240) 11:30:00  5.300   224.0   269.0
2017.08.28 (240) 11:35:00  5.200   219.0   269.0
2017.08.28 (240) 11:40:00  5.300   216.0   280.0
2017.08.28 (240) 11:45:00  5.300   212.0   278.0
2017.08.28 (240) 11:50:00  5.300   219.0   280.0
2017.08.28 (240) 11:55:00  5.300   222.0   272.0
2017.08.28 (240) 12:00:00  5.400   218.0   294.0
2017.08.28 (240) 12:05:00  5.300   216.0   303.0
2017.08.28 (240) 12:10:00  5.400   221.0   306.0
2017.08.28 (240) 12:15:00  5.500   212.0   301.0
2017.08.28 (240) 12:20:00  5.500   209.0   297.0
2017.08.28 (240) 12:25:00  NaN     NaN     NaN  
2017.08.28 (240) 12:30:00  5.600   213.0   307.0
2017.08.28 (240) 12:35:00  5.700   204.0   322.0
2017.08.28 (240) 12:40:00  5.800   201.0   312.0
2017.08.28 (240) 12:45:00  5.900   206.0   307.0
2017.08.28 (240) 12:50:00  6.000   210.0   310.0
2017.08.28 (240) 12:55:00  6.100   204.0   306.0
2017.08.28 (240) 13:00:00  6.300   212.0   304.0
2017.08.28 (240) 13:05:00  6.200   212.0   304.0
2017.08.28 (240) 13:10:00  6.300   210.0   303.0
2017.08.28 (240) 13:15:00  6.100   213.0   304.0
2017.08.28 (240) 13:20:00  6.100   210.0   312.0
2017.08.28 (240) 13:25:00  6.200   206.0   324.0
2017.08.28 (240) 13:30:00  6.300   209.0   321.0
2017.08.28 (240) 13:35:00  6.400   209.0   318.0
2017.08.28 (240) 13:40:00  6.400   212.0   318.0
2017.08.28 (240) 13:45:00  6.400   209.0   318.0
2017.08.28 (240) 13:50:00  6.500   209.0   324.0
2017.08.28 (240) 13:55:00  6.600   212.0   324.0
2017.08.28 (240) 14:00:00  6.800   209.0   319.0
2017.08.28 (240) 14:05:00  7.000   212.0   318.0
2017.08.28 (240) 14:10:00  7.200   215.0   315.0
2017.08.28 (240) 14:15:00  7.300   210.0   313.0
2017.08.28 (240) 14:20:00  7.300   210.0   309.0
2017.08.28 (240) 14:25:00  7.400   209.0   304.0
2017.08.28 (240) 14:30:00  7.400   215.0   298.0
2017.08.28 (240) 14:35:00  7.400   206.0   298.0
2017.08.28 (240) 14:40:00  7.300   206.0   289.0
2017.08.28 (240) 14:45:00  7.200   209.0   292.0
2017.08.28 (240) 14:50:00  7.000   206.0   291.0
2017.08.28 (240) 14:55:00  7.000   204.0   301.0
2017.08.28 (240) 15:00:00  6.800   207.0   309.0
2017.08.28 (240) 15:05:00  6.700   209.0   336.0
2017.08.28 (240) 15:10:00  6.900   203.0   372.0
2017.08.28 (240) 15:15:00  7.100   209.0   374.0
2017.08.28 (240) 15:20:00  7.300   209.0   362.0
2017.08.28 (240) 15:25:00  7.200   210.0   353.0
2017.08.28 (240) 15:30:00  7.300   207.0   348.0
2017.08.28 (240) 15:35:00  7.400   212.0   342.0
2017.08.28 (240) 15:40:00  7.500   213.0   341.0
2017.08.28 (240) 15:45:00  7.600   210.0   344.0
2017.08.28 (240) 15:50:00  7.700   210.0   341.0
2017.08.28 (240) 15:55:00  7.900   210.0   345.0
2017.08.28 (240) 16:00:00  7.800   212.0   333.0
2017.08.28 (240) 16:05:00  7.900   210.0   331.0
2017.08.28 (240) 16:10:00  8.000   207.0   338.0
2017.08.28 (240) 16:15:00  8.000   210.0   338.0
2017.08.28 (240) 16:20:00  8.100   207.0   335.0
2017.08.28 (240) 16:25:00  8.300   209.0   341.0
2017.08.28 (240) 16:30:00  8.400   209.0   341.0
2017.08.28 (240) 16:35:00  8.400   209.0   335.0
2017.08.28 (240) 16:40:00  8.600   209.0   341.0
2017.08.28 (240) 16:45:00  8.600   212.0   335.0
2017.08.28 (240) 16:50:00  8.800   210.0   330.0
2017.08.28 (240) 16:55:00  9.000   207.0   327.0
2017.08.28 (240) 17:00:00  9.100   209.0   321.0
2017.08.28 (240) 17:05:00  9.200   210.0   324.0
2017.08.28 (240) 17:10:00  9.300   209.0   312.0
2017.08.28 (240) 17:15:00  9.500   210.0   309.0
2017.08.28 (240) 17:20:00  9.600   206.0   306.0
2017.08.28 (240) 17:25:00  9.700   203.0   300.0
2017.08.28 (240) 17:30:00  9.700   209.0   292.0
2017.08.28 (240) 17:35:00  9.600   204.0   286.0
2017.08.28 (240) 17:40:00  9.500   213.0   280.0
2017.08.28 (240) 17:45:00  9.800   207.0   285.0
2017.08.28 (240) 17:50:00  9.600   209.0   272.0
2017.08.28 (240) 17:55:00  9.900   206.0   277.0
2017.08.28 (240) 18:00:00  9.800   207.0   268.0
2017.08.28 (240) 18:05:00 10.000   210.0   266.0
2017.08.28 (240) 18:10:00  9.800   206.0   262.0
2017.08.28 (240) 18:15:00  9.300   209.0   257.0
2017.08.28 (240) 18:20:00  8.900   210.0   251.0
2017.08.28 (240) 18:25:00  8.500   207.0   251.0
2017.08.28 (240) 18:30:00  8.300   210.0   257.0
2017.08.28 (240) 18:35:00  8.200   215.0   266.0
2017.08.28 (240) 18:40:00  8.000   212.0   266.0
2017.08.28 (240) 18:45:00  7.900   209.0   263.0
2017.08.28 (240) 18:50:00  8.200   209.0   271.0
2017.08.28 (240) 18:55:00  8.000   207.0   262.0
2017.08.28 (240) 19:00:00  7.800   213.0   262.0
2017.08.28 (240) 19:05:00  7.600   210.0   257.0
2017.08.28 (240) 19:10:00  7.400   215.0   257.0
2017.08.28 (240) 19:15:00  7.500   209.0   266.0
2017.08.28 (240) 19:20:00  7.300   216.0   265.0
2017.08.28 (240) 19:25:00  7.300   215.0   259.0
2017.08.28 (240) 19:30:00  7.000   215.0   254.0
2017.08.28 (240) 19:35:00  7.200   216.0   254.0
2017.08.28 (240) 19:40:00  6.900   216.0   251.0
2017.08.28 (240) 19:45:00  6.800   215.0   247.0
2017.08.28 (240) 19:50:00  6.800   210.0   245.0
2017.08.28 (240) 19:55:00  6.800   216.0   247.0
2017.08.28 (240) 20:00:00  6.400   221.0   239.0
2017.08.28 (240) 20:05:00  6.300   216.0   234.0
2017.08.28 (240) 20:10:00  5.900   215.0   230.0
2017.08.28 (240) 20:15:00  5.800   215.0   233.0
2017.08.28 (240) 20:20:00  5.600   213.0   233.0
2017.08.28 (240) 20:25:00  5.600   218.0   242.0
2017.08.28 (240) 20:30:00  5.600   219.0   238.0
2017.08.28 (240) 20:35:00  5.500   212.0   236.0
2017.08.28 (240) 20:40:00  5.400   215.0   238.0
2017.08.28 (240) 20:45:00  5.200   212.0   234.0
2017.08.28 (240) 20:50:00  5.200   212.0   234.0
2017.08.28 (240) 20:55:00  5.100   212.0   241.0
2017.08.28 (240) 21:00:00  4.800   213.0   241.0
2017.08.28 (240) 21:05:00  4.700   215.0   245.0
2017.08.28 (240) 21:10:00  4.600   213.0   245.0
2017.08.28 (240) 21:15:00  4.400   210.0   241.0
2017.08.28 (240) 21:20:00  4.200   209.0   241.0
2017.08.28 (240) 21:25:00  4.100   209.0   242.0
2017.08.28 (240) 21:30:00  4.000   209.0   239.0
2017.08.28 (240) 21:35:00  3.800   209.0   238.0
2017.08.28 (240) 21:40:00  3.700   210.0   236.0
2017.08.28 (240) 21:45:00  3.400   207.0   231.0
2017.08.28 (240) 21:50:00  3.400   209.0   244.0
2017.08.28 (240) 21:55:00  3.300   209.0   245.0
2017.08.28 (240) 22:00:00  3.200   212.0   245.0
2017.08.28 (240) 22:05:00  3.100   207.0   245.0
2017.08.28 (240) 22:10:00  3.000   207.0   241.0
2017.08.28 (240) 22:15:00  2.900   212.0   242.0
2017.08.28 (240) 22:20:00  2.800   210.0   238.0
2017.08.28 (240) 22:25:00  2.800   210.0   245.0
2017.08.28 (240) 22:30:00  2.700   212.0   250.0
2017.08.28 (240) 22:35:00  2.500   213.0   236.0
2017.08.28 (240) 22:40:00  2.500   215.0   244.0
2017.08.28 (240) 22:45:00  2.400   216.0   250.0
2017.08.28 (240) 22:50:00  2.400   219.0   260.0
2017.08.28 (240) 22:55:00  2.300   227.0   271.0
2017.08.28 (240) 23:00:00  2.300   230.0   285.0
2017.08.28 (240) 23:05:00  2.300   242.0   292.0
2017.08.28 (240) 23:10:00  2.300   254.0   298.0
2017.08.28 (240) 23:15:00  2.300   262.0   304.0
2017.08.28 (240) 23:20:00  2.300   259.0   307.0
2017.08.28 (240) 23:25:00  2.200   265.0   301.0
2017.08.28 (240) 23:30:00  2.200   266.0   303.0
2017.08.28 (240) 23:35:00  2.300   275.0   321.0
2017.08.28 (240) 23:40:00  2.300   275.0   313.0
2017.08.28 (240) 23:45:00  2.200   272.0   304.0
2017.08.28 (240) 23:50:00  2.200   272.0   306.0
2017.08.28 (240) 23:55:00  2.200   288.0   315.0
