yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.15 (227) 00:00:00  NaN     NaN     NaN  
2017.08.15 (227) 00:05:00  NaN     NaN     NaN  
2017.08.15 (227) 00:10:00  NaN     NaN     NaN  
2017.08.15 (227) 00:15:00  1.900   270.0   296.0
2017.08.15 (227) 00:20:00  NaN     NaN     NaN  
2017.08.15 (227) 00:25:00  NaN     NaN     NaN  
2017.08.15 (227) 00:30:00  1.900   316.0   358.0
2017.08.15 (227) 00:35:00  2.100   320.0   349.0
2017.08.15 (227) 00:40:00  NaN     NaN     NaN  
2017.08.15 (227) 00:45:00  1.800   308.0   332.0
2017.08.15 (227) 00:50:00  NaN     NaN     NaN  
2017.08.15 (227) 00:55:00  NaN     NaN     NaN  
2017.08.15 (227) 01:00:00  2.100   288.0   317.0
2017.08.15 (227) 01:05:00  NaN     NaN     NaN  
2017.08.15 (227) 01:10:00  1.900   288.0   328.0
2017.08.15 (227) 01:15:00  1.900   277.0   309.0
2017.08.15 (227) 01:20:00  2.000   274.0   297.0
2017.08.15 (227) 01:25:00  2.100   256.0   280.0
2017.08.15 (227) 01:30:00  2.100   234.0   245.0
2017.08.15 (227) 01:35:00  2.100   233.0   241.0
2017.08.15 (227) 01:40:00  1.900   219.0   233.0
2017.08.15 (227) 01:45:00  1.900   210.0   230.0
2017.08.15 (227) 01:50:00  2.000   219.0   239.0
2017.08.15 (227) 01:55:00  NaN     NaN     NaN  
2017.08.15 (227) 02:00:00  NaN     NaN     NaN  
2017.08.15 (227) 02:05:00  2.000   360.0   406.0
2017.08.15 (227) 02:10:00  2.000   331.0   372.0
2017.08.15 (227) 02:15:00  2.000   291.0   314.0
2017.08.15 (227) 02:20:00  NaN     NaN     NaN  
2017.08.15 (227) 02:25:00  1.900   282.0   309.0
2017.08.15 (227) 02:30:00  1.900   264.0   288.0
2017.08.15 (227) 02:35:00  NaN     NaN     NaN  
2017.08.15 (227) 02:40:00  1.900   233.0   242.0
2017.08.15 (227) 02:45:00  1.800   225.0   248.0
2017.08.15 (227) 02:50:00  2.000   227.0   245.0
2017.08.15 (227) 02:55:00  2.000   222.0   248.0
2017.08.15 (227) 03:00:00  2.100   231.0   274.0
2017.08.15 (227) 03:05:00  1.900   251.0   303.0
2017.08.15 (227) 03:10:00  2.000   286.0   346.0
2017.08.15 (227) 03:15:00  2.000   247.0   283.0
2017.08.15 (227) 03:20:00  2.100   234.0   277.0
2017.08.15 (227) 03:25:00  2.100   256.0   343.0
2017.08.15 (227) 03:30:00  2.100   264.0   294.0
2017.08.15 (227) 03:35:00  2.100   262.0   291.0
2017.08.15 (227) 03:40:00  2.200   260.0   290.0
2017.08.15 (227) 03:45:00  2.200   268.0   309.0
2017.08.15 (227) 03:50:00  2.200   262.0   296.0
2017.08.15 (227) 03:55:00  2.200   264.0   296.0
2017.08.15 (227) 04:00:00  2.000   267.0   316.0
2017.08.15 (227) 04:05:00  2.100   257.0   320.0
2017.08.15 (227) 04:10:00  2.100   280.0   339.0
2017.08.15 (227) 04:15:00  2.000   283.0   316.0
2017.08.15 (227) 04:20:00  2.200   282.0   383.0
2017.08.15 (227) 04:25:00  2.600   345.0   403.0
2017.08.15 (227) 04:30:00  2.400   340.0   380.0
2017.08.15 (227) 04:35:00  2.500   320.0   378.0
