yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.15 (227) 00:00:00  NaN     NaN     NaN  
2017.08.15 (227) 00:05:00  NaN     NaN     NaN  
2017.08.15 (227) 00:10:00  NaN     NaN     NaN  
2017.08.15 (227) 00:15:00  NaN     NaN     NaN  
2017.08.15 (227) 00:20:00  NaN     NaN     NaN  
2017.08.15 (227) 00:25:00  NaN     NaN     NaN  
2017.08.15 (227) 00:30:00  NaN     NaN     NaN  
2017.08.15 (227) 00:35:00  NaN     NaN     NaN  
2017.08.15 (227) 00:40:00  NaN     NaN     NaN  
2017.08.15 (227) 00:45:00  NaN     NaN     NaN  
2017.08.15 (227) 00:50:00  NaN     NaN     NaN  
2017.08.15 (227) 00:55:00  NaN     NaN     NaN  
2017.08.15 (227) 01:00:00  NaN     NaN     NaN  
2017.08.15 (227) 01:05:00  NaN     NaN     NaN  
2017.08.15 (227) 01:10:00  1.900   304.0   307.0
2017.08.15 (227) 01:15:00  1.900   276.0   271.0
2017.08.15 (227) 01:20:00  2.000   276.0   276.0
2017.08.15 (227) 01:25:00  2.100   255.0   257.0
2017.08.15 (227) 01:30:00  2.100   236.0   240.0
2017.08.15 (227) 01:35:00  2.100   231.0   231.0
2017.08.15 (227) 01:40:00  2.000   226.0   231.0
2017.08.15 (227) 01:45:00  2.000   221.0   224.0
2017.08.15 (227) 01:50:00  2.000   221.0   224.0
2017.08.15 (227) 01:55:00  NaN     NaN     NaN  
2017.08.15 (227) 02:00:00  NaN     NaN     NaN  
2017.08.15 (227) 02:05:00  NaN     NaN     NaN  
2017.08.15 (227) 02:10:00  NaN     NaN     NaN  
2017.08.15 (227) 02:15:00  1.800   300.0   307.0
2017.08.15 (227) 02:20:00  NaN     NaN     NaN  
2017.08.15 (227) 02:25:00  NaN     NaN     NaN  
2017.08.15 (227) 02:30:00  1.900   271.0   276.0
2017.08.15 (227) 02:35:00  NaN     NaN     NaN  
2017.08.15 (227) 02:40:00  1.900   233.0   259.0
2017.08.15 (227) 02:45:00  1.800   233.0   238.0
2017.08.15 (227) 02:50:00  2.000   231.0   250.0
2017.08.15 (227) 02:55:00  1.900   224.0   219.0
2017.08.15 (227) 03:00:00  2.000   219.0   228.0
2017.08.15 (227) 03:05:00  NaN     NaN     NaN  
2017.08.15 (227) 03:10:00  NaN     NaN     NaN  
2017.08.15 (227) 03:15:00  NaN     NaN     NaN  
2017.08.15 (227) 03:20:00  NaN     NaN     NaN  
2017.08.15 (227) 03:25:00  NaN     NaN     NaN  
2017.08.15 (227) 03:30:00  NaN     NaN     NaN  
2017.08.15 (227) 03:35:00  1.900   276.0   278.0
2017.08.15 (227) 03:40:00  2.000   264.0   264.0
2017.08.15 (227) 03:45:00  2.000   274.0   281.0
2017.08.15 (227) 03:50:00  2.000   290.0   295.0
2017.08.15 (227) 03:55:00  1.900   266.0   297.0
2017.08.15 (227) 04:00:00  2.000   276.0   276.0
2017.08.15 (227) 04:05:00  2.000   264.0   262.0
2017.08.15 (227) 04:10:00  2.000   271.0   290.0
2017.08.15 (227) 04:15:00  2.000   276.0   278.0
2017.08.15 (227) 04:20:00  2.100   285.0   293.0
2017.08.15 (227) 04:25:00  NaN     NaN     NaN  
2017.08.15 (227) 04:30:00  NaN     NaN     NaN  
