yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.09 (221) 00:00:00  NaN     NaN     NaN  
2017.08.09 (221) 00:05:00  NaN     NaN     NaN  
2017.08.09 (221) 00:10:00  NaN     NaN     NaN  
2017.08.09 (221) 00:15:00  NaN     NaN     NaN  
2017.08.09 (221) 00:20:00  NaN     NaN     NaN  
2017.08.09 (221) 00:25:00  NaN     NaN     NaN  
2017.08.09 (221) 00:30:00  NaN     NaN     NaN  
2017.08.09 (221) 00:35:00  NaN     NaN     NaN  
2017.08.09 (221) 00:40:00  NaN     NaN     NaN  
2017.08.09 (221) 00:45:00  NaN     NaN     NaN  
2017.08.09 (221) 00:50:00  NaN     342.0   NaN  
2017.08.09 (221) 00:55:00  NaN     346.0   NaN  
2017.08.09 (221) 01:00:00  NaN     335.0   NaN  
2017.08.09 (221) 01:05:00  NaN     325.0   NaN  
2017.08.09 (221) 01:10:00  NaN     NaN     NaN  
2017.08.09 (221) 01:15:00  NaN     NaN     NaN  
2017.08.09 (221) 01:20:00  NaN     293.0   NaN  
2017.08.09 (221) 01:25:00  NaN     276.0   NaN  
2017.08.09 (221) 01:30:00  2.400   303.0   325.0
2017.08.09 (221) 01:35:00  NaN     296.0   NaN  
2017.08.09 (221) 01:40:00  NaN     NaN     NaN  
2017.08.09 (221) 01:45:00  2.100   268.0   290.0
2017.08.09 (221) 01:50:00  NaN     NaN     NaN  
2017.08.09 (221) 01:55:00  2.100   254.0   277.0
2017.08.09 (221) 02:00:00  NaN     NaN     NaN  
2017.08.09 (221) 02:05:00  NaN     NaN     NaN  
2017.08.09 (221) 02:10:00  2.200   268.0   294.0
2017.08.09 (221) 02:15:00  2.200   274.0   296.0
2017.08.09 (221) 02:20:00  2.200   268.0   300.0
2017.08.09 (221) 02:25:00  NaN     302.0   NaN  
2017.08.09 (221) 02:30:00  NaN     NaN     NaN  
2017.08.09 (221) 02:35:00  NaN     NaN     NaN  
2017.08.09 (221) 02:40:00  NaN     NaN     NaN  
2017.08.09 (221) 02:45:00  NaN     NaN     NaN  
2017.08.09 (221) 02:50:00  2.300   302.0   332.0
2017.08.09 (221) 02:55:00  2.300   291.0   316.0
2017.08.09 (221) 03:00:00  2.100   279.0   291.0
2017.08.09 (221) 03:05:00  NaN     276.0   NaN  
2017.08.09 (221) 03:10:00  NaN     291.0   NaN  
2017.08.09 (221) 03:15:00  NaN     294.0   NaN  
2017.08.09 (221) 03:20:00  2.100   305.0   319.0
2017.08.09 (221) 03:25:00  NaN     306.0   NaN  
2017.08.09 (221) 03:30:00  NaN     308.0   NaN  
2017.08.09 (221) 03:35:00  NaN     293.0   NaN  
2017.08.09 (221) 03:40:00  NaN     282.0   NaN  
2017.08.09 (221) 03:45:00  2.300   283.0   311.0
2017.08.09 (221) 03:50:00  2.600   270.0   309.0
2017.08.09 (221) 03:55:00  2.400   253.0   306.0
2017.08.09 (221) 04:00:00  2.200   257.0   267.0
2017.08.09 (221) 04:05:00  NaN     267.0   NaN  
2017.08.09 (221) 04:10:00  NaN     259.0   NaN  
2017.08.09 (221) 04:15:00  NaN     248.0   NaN  
2017.08.09 (221) 04:20:00  NaN     248.0   NaN  
2017.08.09 (221) 04:25:00  2.200   237.0   247.0
2017.08.09 (221) 04:30:00  2.300   233.0   245.0
2017.08.09 (221) 04:35:00  2.100   222.0   239.0
2017.08.09 (221) 04:40:00  2.300   230.0   253.0
2017.08.09 (221) 04:45:00  2.300   225.0   242.0
2017.08.09 (221) 04:50:00  2.300   228.0   236.0
2017.08.09 (221) 04:55:00  2.200   222.0   231.0
2017.08.09 (221) 05:00:00  2.300   218.0   222.0
2017.08.09 (221) 05:05:00  2.200   219.0   231.0
2017.08.09 (221) 05:10:00  2.200   221.0   228.0
2017.08.09 (221) 05:15:00  2.100   218.0   233.0
2017.08.09 (221) 05:20:00  NaN     231.0   NaN  
2017.08.09 (221) 05:25:00  NaN     NaN     NaN  
2017.08.09 (221) 05:30:00  NaN     NaN     NaN  
2017.08.09 (221) 05:35:00  NaN     NaN     NaN  
2017.08.09 (221) 05:40:00  NaN     NaN     NaN  
2017.08.09 (221) 05:45:00  NaN     NaN     NaN  
2017.08.09 (221) 05:50:00  NaN     NaN     NaN  
2017.08.09 (221) 05:55:00  NaN     257.0   NaN  
2017.08.09 (221) 06:00:00  NaN     241.0   NaN  
2017.08.09 (221) 06:05:00  2.100   234.0   259.0
2017.08.09 (221) 06:10:00  NaN     233.0   NaN  
2017.08.09 (221) 06:15:00  NaN     NaN     NaN  
2017.08.09 (221) 06:20:00  NaN     NaN     NaN  
2017.08.09 (221) 06:25:00  NaN     NaN     NaN  
2017.08.09 (221) 06:30:00  NaN     NaN     NaN  
2017.08.09 (221) 06:35:00  NaN     NaN     NaN  
2017.08.09 (221) 06:40:00  NaN     NaN     NaN  
2017.08.09 (221) 06:45:00  NaN     NaN     NaN  
2017.08.09 (221) 06:50:00  NaN     NaN     NaN  
2017.08.09 (221) 06:55:00  NaN     NaN     NaN  
2017.08.09 (221) 07:00:00  NaN     NaN     NaN  
2017.08.09 (221) 07:05:00  NaN     NaN     NaN  
2017.08.09 (221) 07:10:00  NaN     NaN     NaN  
2017.08.09 (221) 07:15:00  NaN     NaN     NaN  
2017.08.09 (221) 07:20:00  NaN     NaN     NaN  
2017.08.09 (221) 07:25:00  NaN     NaN     NaN  
2017.08.09 (221) 07:30:00  NaN     NaN     NaN  
2017.08.09 (221) 07:35:00  NaN     NaN     NaN  
2017.08.09 (221) 07:40:00  NaN     NaN     NaN  
2017.08.09 (221) 07:45:00  NaN     NaN     NaN  
2017.08.09 (221) 07:50:00  NaN     NaN     NaN  
2017.08.09 (221) 07:55:00  NaN     NaN     NaN  
2017.08.09 (221) 08:00:00  NaN     NaN     NaN  
2017.08.09 (221) 08:05:00  NaN     NaN     NaN  
2017.08.09 (221) 08:10:00  NaN     NaN     NaN  
2017.08.09 (221) 08:15:00  NaN     NaN     NaN  
2017.08.09 (221) 08:20:00  NaN     NaN     NaN  
2017.08.09 (221) 08:25:00  NaN     NaN     NaN  
2017.08.09 (221) 08:30:00  NaN     NaN     NaN  
